,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
270,32,柳町達,760,0.25,12.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4,0.25,0.65,0.0,ソフトバンク
271,33,増田珠,660,,,,,,,,,,,,,,,,,,,,ソフトバンク
272,36,牧原大成,4000,0.241,77.0,180.0,170.0,41.0,7.0,2.0,1.0,55.0,25.0,8.0,25.0,3.0,1.0,6.0,0.256,0.324,0.579,0.139,ソフトバンク
273,45,谷川原健太,600,,,,,,,,,,,,,,,,,,,,ソフトバンク
274,46,コラス,1500,,,,,,,,,,,,,,,,,,,,ソフトバンク
275,51,上林誠知,6500,0.181,69.0,178.0,160.0,29.0,4.0,1.0,6.0,53.0,17.0,20.0,39.0,11.0,4.0,8.0,0.25,0.331,0.581,0.219,ソフトバンク
276,52,リチャード,300,,,,,,,,,,,,,,,,,,,,ソフトバンク
277,54,デスパイネ,40000,0.224,25.0,97.0,85.0,19.0,1.0,0.0,6.0,38.0,9.0,12.0,11.0,12.0,0.0,0.0,0.32,0.447,0.767,0.113,ソフトバンク
278,55,野村大樹,630,,,,,,,,,,,,,,,,,,,,ソフトバンク
279,59,水谷瞬,500,,,,,,,,,,,,,,,,,,,,ソフトバンク
280,60,釜元豪,1300,0.192,32.0,29.0,26.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,10.0,3.0,0.0,3.0,0.276,0.192,0.468,0.345,ソフトバンク
281,62,海野隆司,1200,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,ソフトバンク
282,64,真砂勇介,620,0.314,50.0,41.0,35.0,11.0,2.0,1.0,1.0,18.0,9.0,6.0,11.0,4.0,2.0,2.0,0.415,0.514,0.929,0.268,ソフトバンク
283,65,九鬼隆平,620,0.25,5.0,5.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.4,1.0,1.4,0.4,ソフトバンク
284,68,三森大貴,600,0.163,24.0,46.0,43.0,7.0,2.0,0.0,0.0,9.0,4.0,2.0,17.0,1.0,1.0,1.0,0.2,0.209,0.409,0.37,ソフトバンク
285,69,小林珠維,460,,,,,,,,,,,,,,,,,,,,ソフトバンク
286,99,川島慶三,7000,0.263,59.0,162.0,137.0,36.0,4.0,0.0,4.0,52.0,21.0,9.0,17.0,19.0,4.0,0.0,0.369,0.38,0.748,0.105,ソフトバンク
