,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
0,11,九里亜蓮,8700,3.81,25.0,13.0,9.0,149.0,0.591,2.0,0.0,0.0,0.0,102.0,6.16,73.0,63.0,150.0,18.0,51.0,8.0,3.08,広島
1,12,大道温貴,1000,4.75,24.0,4.0,4.0,53.0,0.5,0.0,0.0,0.0,3.0,35.0,5.94,30.0,28.0,50.0,4.0,25.0,2.0,4.25,広島
2,13,森浦大輔,1100,3.17,54.0,3.0,3.0,,0.5,0.0,0.0,0.0,17.0,41.0,7.63,18.0,17.0,39.0,3.0,21.0,4.0,3.91,広島
3,14,大瀬良大地,15000,3.07,23.0,10.0,5.0,,0.667,1.0,1.0,0.0,0.0,102.0,6.26,57.0,50.0,136.0,12.0,31.0,5.0,1.9,広島
4,16,今村猛,6000,,,,,,,,,,,,,,,,,,,,広島
5,17,岡田明丈,3300,,,,,,,,,,,,,,,,,,,,広島
6,18,森下暢仁,4300,2.98,24.0,8.0,7.0,,0.533,1.0,1.0,0.0,0.0,132.0,7.27,55.0,54.0,144.0,16.0,52.0,3.0,2.87,広島
7,19,野村祐輔,12000,6.31,8.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,29.0,7.32,25.0,25.0,48.0,6.0,17.0,2.0,4.29,広島
8,20,栗林良吏,1600,0.86,53.0,0.0,1.0,,0.0,0.0,0.0,37.0,0.0,81.0,13.93,5.0,5.0,23.0,1.0,28.0,1.0,4.82,広島
9,21,中崎翔太,8700,13.5,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,8.0,6.0,9.0,0.0,2.0,0.0,4.5,広島
10,23,薮田和樹,2500,3.86,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.86,2.0,2.0,3.0,0.0,5.0,0.0,9.64,広島
11,26,中田廉,2300,4.74,23.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,16.0,7.58,14.0,10.0,20.0,3.0,12.0,1.0,5.68,広島
12,28,床田寛樹,2700,3.19,16.0,5.0,4.0,,0.556,1.0,1.0,0.0,1.0,80.0,8.24,32.0,31.0,91.0,5.0,24.0,2.0,2.47,広島
13,29,ケムナ誠,1600,4.58,40.0,2.0,2.0,,0.5,0.0,0.0,0.0,12.0,28.0,6.41,20.0,20.0,45.0,4.0,15.0,2.0,3.43,広島
14,30,一岡竜司,5600,,,,,,,,,,,,,,,,,,,,広島
15,34,高橋昂也,700,5.28,15.0,5.0,7.0,,0.417,0.0,0.0,0.0,0.0,54.0,6.63,44.0,43.0,85.0,9.0,24.0,2.0,2.95,広島
16,36,塹江敦哉,1900,4.25,51.0,5.0,4.0,,0.556,0.0,0.0,0.0,17.0,29.0,6.17,25.0,20.0,48.0,4.0,25.0,1.0,5.31,広島
17,39,菊池保則,2700,1.71,33.0,2.0,1.0,,0.667,0.0,0.0,0.0,3.0,25.0,7.11,7.0,6.0,31.0,3.0,13.0,3.0,3.69,広島
18,41,矢崎拓也,800,11.57,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,7.71,9.0,9.0,7.0,1.0,7.0,0.0,9.0,広島
19,42,カイル・バード,4150,4.57,33.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,21.0,8.72,11.0,11.0,21.0,0.0,13.0,2.0,5.4,広島
20,43,島内颯太郎,1600,3.12,51.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,15.0,51.0,9.37,20.0,17.0,44.0,4.0,14.0,0.0,2.57,広島
21,46,高橋樹也,800,1.37,27.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0,5.47,10.0,4.0,20.0,3.0,10.0,1.0,3.42,広島
22,47,山口翔,700,,,,,,,,,,,,,,,,,,,,広島
23,48,アドゥワ誠,1650,,,,,,,,,,,,,,,,,,,,広島
24,52,鈴木寛人,550,,,,,,,,,,,,,,,,,,,,広島
25,53,小林樹斗,500,9.82,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,14.73,6.0,4.0,6.0,0.0,2.0,0.0,4.91,広島
26,57,田中法彦,500,,,,,,,,,,,,,,,,,,,,広島
27,58,藤井黎來,500,12.71,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,11.12,8.0,8.0,11.0,1.0,3.0,1.0,4.76,広島
28,64,中村恭平,1900,,,,,,,,,,,,,,,,,,,,広島
29,65,玉村昇悟,450,3.83,17.0,4.0,7.0,101.0,0.364,0.0,0.0,0.0,0.0,67.0,5.97,47.0,43.0,95.0,13.0,40.0,1.0,3.56,広島
