,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
0,00,曽根海成,1300.0,0.143,39.0,15.0,14.0,2.0,1.0,0.0,0.0,3.0,6.0,0.0,3.0,1.0,0.0,1.0,0.2,0.214,0.414,0.2,広島
1,0,上本崇司,2900.0,0.259,84.0,276.0,247.0,64.0,7.0,1.0,1.0,76.0,20.0,17.0,46.0,12.0,9.0,8.0,0.317,0.308,0.625,0.167,広島
2,2,田中広輔,3000.0,0.228,111.0,253.0,224.0,51.0,10.0,0.0,6.0,79.0,28.0,28.0,48.0,25.0,1.0,2.0,0.308,0.353,0.661,0.19,広島
3,5,西川龍馬,12000.0,0.305,109.0,443.0,416.0,127.0,20.0,1.0,9.0,176.0,48.0,56.0,52.0,21.0,1.0,7.0,0.337,0.423,0.76,0.117,広島
4,7,堂林翔太,5000.0,0.273,100.0,284.0,260.0,71.0,13.0,0.0,12.0,120.0,29.0,35.0,72.0,19.0,0.0,1.0,0.323,0.462,0.784,0.254,広島
5,9,秋山翔吾,15000.0,0.274,115.0,483.0,434.0,119.0,20.0,6.0,4.0,163.0,48.0,38.0,81.0,35.0,4.0,8.0,0.333,0.376,0.709,0.168,広島
6,10,ライアン・マクブルーム,19000.0,0.221,70.0,259.0,226.0,50.0,12.0,0.0,6.0,80.0,21.0,31.0,56.0,28.0,1.0,1.0,0.305,0.354,0.659,0.216,広島
7,22,中村奨成,800.0,0.15,18.0,20.0,20.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.15,0.15,0.3,0.35,広島
8,27,會澤翼,14000.0,0.172,54.0,133.0,116.0,20.0,4.0,0.0,1.0,27.0,6.0,10.0,26.0,10.0,4.0,0.0,0.26,0.233,0.492,0.195,広島
9,31,坂倉将吾,9500.0,0.266,120.0,448.0,395.0,105.0,19.0,1.0,12.0,162.0,48.0,44.0,67.0,47.0,3.0,3.0,0.347,0.41,0.757,0.15,広島
10,32,石原貴規,1000.0,,,,,,,,,,,,,,,,,,,,広島
11,33,菊池涼介,30000.0,0.258,120.0,485.0,442.0,114.0,17.0,0.0,5.0,146.0,51.0,27.0,68.0,32.0,2.0,7.0,0.31,0.33,0.641,0.14,広島
12,35,三好匠,1200.0,,,,,,,,,,,,,,,,,,,,広島
13,37,野間峻祥,5000.0,0.286,108.0,418.0,371.0,106.0,11.0,1.0,0.0,119.0,37.0,26.0,51.0,33.0,5.0,5.0,0.351,0.321,0.672,0.122,広島
14,38,宇草孔基,1200.0,,,,,,,,,,,,,,,,,,,,広島
