,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
15,40,磯村嘉孝,2100.0,0.207,25.0,32.0,29.0,6.0,1.0,0.0,1.0,10.0,2.0,4.0,10.0,1.0,1.0,0.0,0.258,0.345,0.603,0.312,広島
16,44,林晃汰,1200.0,0.207,20.0,62.0,58.0,12.0,4.0,0.0,1.0,19.0,5.0,5.0,20.0,3.0,1.0,0.0,0.258,0.328,0.586,0.323,広島
17,50,中村健人,1600.0,,,,,,,,,,,,,,,,,,,,広島
18,51,小園海斗,4000.0,0.286,80.0,306.0,290.0,83.0,11.0,7.0,6.0,126.0,25.0,31.0,38.0,10.0,2.0,8.0,0.315,0.434,0.749,0.124,広島
19,52,末包昇大,1300.0,0.273,65.0,146.0,139.0,38.0,6.0,0.0,11.0,77.0,16.0,27.0,40.0,6.0,1.0,0.0,0.308,0.554,0.862,0.274,広島
20,54,韮澤雄也,600.0,0.14,45.0,55.0,50.0,7.0,2.0,0.0,0.0,9.0,5.0,3.0,13.0,5.0,0.0,0.0,0.218,0.18,0.398,0.236,広島
21,55,松山竜平,6500.0,0.252,79.0,156.0,143.0,36.0,9.0,0.0,0.0,45.0,5.0,27.0,27.0,10.0,1.0,0.0,0.301,0.315,0.616,0.173,広島
22,56,久保修,600.0,,,,,,,,,,,,,,,,,,,,広島
23,57,持丸泰輝,550.0,,,,,,,,,,,,,,,,,,,,広島
24,59,大盛穂,1300.0,0.152,59.0,71.0,66.0,10.0,2.0,0.0,1.0,15.0,10.0,5.0,22.0,2.0,2.0,4.0,0.2,0.227,0.427,0.31,広島
25,60,田村俊介,500.0,0.364,10.0,22.0,22.0,8.0,2.0,0.0,0.0,10.0,3.0,0.0,6.0,0.0,0.0,0.0,0.364,0.455,0.818,0.273,広島
26,61,矢野雅哉,1100.0,0.185,93.0,146.0,119.0,22.0,2.0,0.0,0.0,24.0,22.0,3.0,35.0,14.0,0.0,7.0,0.269,0.202,0.47,0.24,広島
27,62,清水叶人,500.0,,,,,,,,,,,,,,,,,,,,広島
28,63,内田湘大,600.0,,,,,,,,,,,,,,,,,,,,広島
29,64,高木翔斗,500.0,,,,,,,,,,,,,,,,,,,,広島
30,69,羽月隆太郎,1400.0,0.149,50.0,53.0,47.0,7.0,1.0,0.0,0.0,8.0,10.0,4.0,12.0,4.0,0.0,14.0,0.216,0.17,0.386,0.226,広島
31,95,マット・デビッドソン,7700.0,0.21,112.0,381.0,348.0,73.0,16.0,1.0,19.0,148.0,34.0,44.0,120.0,22.0,9.0,0.0,0.273,0.425,0.698,0.315,広島
32,97,中村貴浩,300.0,0.176,15.0,37.0,34.0,6.0,1.0,0.0,0.0,7.0,3.0,3.0,10.0,1.0,1.0,1.0,0.216,0.206,0.422,0.27,広島
33,99,二俣翔一,500.0,,,,,,,,,,,,,,,,,,,,広島
34,121,名原典彦,300.0,,,,,,,,,,,,,,,,,,,,広島
35,124,木下元秀,300.0,,,,,,,,,,,,,,,,,,,,広島
36,127,前川誠太,300.0,,,,,,,,,,,,,,,,,,,,広島
37,00,湯浅大,1500.0,,,,,,,,,,,,,,,,,,,,巨人
38,0,増田大輝,2300.0,0.3,33.0,13.0,10.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,4.0,0.364,0.4,0.764,0.231,巨人
39,001,加藤廉,410.0,,,,,,,,,,,,,,,,,,,,巨人
40,2,吉川尚輝,7000.0,0.256,132.0,478.0,430.0,110.0,19.0,4.0,7.0,158.0,47.0,36.0,66.0,26.0,8.0,4.0,0.308,0.367,0.676,0.138,巨人
41,002,中田歩夢,360.0,,,,,,,,,,,,,,,,,,,,巨人
42,003,鈴木大和,410.0,,,,,,,,,,,,,,,,,,,,巨人
43,5,中島宏之,5000.0,0.278,8.0,19.0,18.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.316,0.278,0.594,0.263,巨人
44,006,坂本勇人,370.0,,,,,,,,,,,,,,,,,,,,巨人
45,6,坂本勇人,60000.0,0.288,116.0,455.0,403.0,116.0,29.0,0.0,22.0,211.0,46.0,60.0,84.0,45.0,2.0,2.0,0.361,0.524,0.884,0.185,巨人
46,007,J.デラクルーズ,240.0,,,,,,,,,,,,,,,,,,,,巨人
47,7,長野久義,2000.0,0.259,75.0,176.0,158.0,41.0,7.0,1.0,6.0,68.0,15.0,19.0,40.0,17.0,0.0,1.0,0.33,0.43,0.76,0.227,巨人
48,008,相澤白虎,360.0,,,,,,,,,,,,,,,,,,,,巨人
49,8,丸佳浩,45000.0,0.244,121.0,431.0,385.0,94.0,11.0,0.0,18.0,159.0,43.0,47.0,62.0,42.0,0.0,4.0,0.316,0.413,0.729,0.144,巨人
50,009,笹原操希,370.0,,,,,,,,,,,,,,,,,,,,巨人
51,010,大津綾也,370.0,,,,,,,,,,,,,,,,,,,,巨人
52,10,中田翔,30000.0,0.255,92.0,288.0,263.0,67.0,8.0,1.0,15.0,122.0,27.0,37.0,63.0,19.0,2.0,0.0,0.306,0.464,0.769,0.219,巨人
53,12,萩尾匡也,1200.0,0.062,11.0,16.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.062,0.062,0.125,0.625,巨人
54,13,梶谷隆幸,20000.0,0.275,102.0,291.0,265.0,73.0,8.0,0.0,2.0,87.0,26.0,19.0,45.0,17.0,3.0,2.0,0.326,0.328,0.655,0.155,巨人
55,013,J.ティマ,240.0,,,,,,,,,,,,,,,,,,,,巨人
56,22,小林誠司,10000.0,0.125,21.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0,巨人
57,022,亀田啓太,410.0,,,,,,,,,,,,,,,,,,,,巨人
58,23,松田宣浩,2000.0,0.062,12.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.062,0.062,0.125,0.294,巨人
59,24,大城卓三,8000.0,0.281,134.0,490.0,424.0,119.0,20.0,1.0,16.0,189.0,50.0,55.0,109.0,36.0,5.0,0.0,0.341,0.446,0.787,0.222,巨人
60,024,前田研輝,410.0,,,,,,,,,,,,,,,,,,,,巨人
61,25,岡本和真,27000.0,0.278,140.0,589.0,503.0,140.0,31.0,0.0,41.0,294.0,83.0,93.0,111.0,72.0,8.0,0.0,0.374,0.584,0.958,0.188,巨人
62,025,岡本大翔,410.0,,,,,,,,,,,,,,,,,,,,巨人
63,27,岸田行倫,1600.0,0.25,46.0,72.0,68.0,17.0,2.0,0.0,2.0,25.0,5.0,3.0,12.0,2.0,1.0,0.0,0.282,0.368,0.649,0.167,巨人
64,027,北村流音,360.0,,,,,,,,,,,,,,,,,,,,巨人
65,031,三塚琉生,360.0,,,,,,,,,,,,,,,,,,,,巨人
66,32,廣岡大志,1700.0,0.214,9.0,30.0,28.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,8.0,0.0,1.0,1.0,0.233,0.321,0.555,0.267,巨人
67,35,門脇誠,840.0,0.263,126.0,348.0,316.0,83.0,12.0,1.0,3.0,106.0,34.0,21.0,58.0,18.0,0.0,11.0,0.302,0.335,0.638,0.167,巨人
68,36,石川慎吾,1800.0,,,,,,,,,,,,,,,,,,,,巨人
69,37,若林晃弘,2500.0,0.125,21.0,18.0,16.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,1.0,0.222,0.125,0.347,0.278,巨人
70,38,岡田悠希,950.0,0.167,26.0,52.0,48.0,8.0,1.0,0.0,1.0,12.0,4.0,2.0,14.0,3.0,0.0,0.0,0.216,0.25,0.466,0.269,巨人
71,039,立岡宗一郎,2350.0,,,,,,,,,,,,,,,,,,,,巨人
72,40,中山礼都,1260.0,0.239,78.0,147.0,138.0,33.0,5.0,1.0,0.0,40.0,9.0,3.0,30.0,7.0,0.0,5.0,0.276,0.29,0.566,0.204,巨人
73,42,L.ブリンソン,13000.0,0.248,88.0,294.0,282.0,70.0,16.0,0.0,11.0,119.0,25.0,35.0,71.0,9.0,1.0,1.0,0.272,0.422,0.694,0.241,巨人
74,43,重信慎之介,3200.0,0.157,67.0,57.0,51.0,8.0,0.0,0.0,0.0,8.0,16.0,1.0,16.0,5.0,0.0,10.0,0.232,0.157,0.389,0.281,巨人
75,44,A.ウォーカー,10000.0,0.263,57.0,120.0,118.0,31.0,4.0,2.0,6.0,57.0,15.0,20.0,39.0,2.0,0.0,1.0,0.275,0.483,0.758,0.325,巨人
76,044,大城元,360.0,,,,,,,,,,,,,,,,,,,,巨人
77,50,オコエ瑠偉,850.0,0.235,41.0,127.0,119.0,28.0,7.0,0.0,2.0,41.0,11.0,6.0,35.0,5.0,2.0,1.0,0.278,0.345,0.622,0.276,巨人
78,51,浅野翔吾,1200.0,0.25,24.0,41.0,40.0,10.0,1.0,0.0,1.0,14.0,2.0,2.0,14.0,1.0,0.0,0.0,0.268,0.35,0.618,0.341,巨人
79,52,北村拓己,1700.0,0.206,27.0,38.0,34.0,7.0,1.0,0.0,0.0,8.0,2.0,0.0,7.0,2.0,1.0,0.0,0.27,0.235,0.506,0.184,巨人
80,55,秋広優人,630.0,0.273,121.0,439.0,406.0,111.0,18.0,2.0,10.0,163.0,36.0,41.0,79.0,26.0,2.0,0.0,0.318,0.401,0.72,0.18,巨人
81,055,保科広一,420.0,,,,,,,,,,,,,,,,,,,,巨人
82,59,松原聖弥,3100.0,0.0,21.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.077,0.0,0.077,0.308,巨人
83,60,菊田拡和,620.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.167,0.0,0.167,0.0,巨人
84,61,増田陸,1800.0,,,,,,,,,,,,,,,,,,,,巨人
85,66,香月一也,1100.0,,,,,,,,,,,,,,,,,,,,巨人
86,67,山瀬慎之助,650.0,0.143,5.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.143,0.143,0.286,0.429,巨人
87,069,萩原哲,650.0,,,,,,,,,,,,,,,,,,,,巨人
88,94,喜多隆介,650.0,,,,,,,,,,,,,,,,,,,,巨人
89,00,林琢真,910.0,0.206,65.0,154.0,141.0,29.0,5.0,0.0,0.0,34.0,12.0,11.0,29.0,6.0,0.0,7.0,0.235,0.241,0.476,0.188,DeNA
90,0,大田泰示,5000.0,0.217,75.0,186.0,175.0,38.0,12.0,0.0,4.0,62.0,18.0,15.0,49.0,9.0,2.0,0.0,0.263,0.354,0.618,0.263,DeNA
91,1,桑原将志,12000.0,0.252,132.0,479.0,429.0,108.0,23.0,4.0,7.0,160.0,48.0,35.0,54.0,23.0,10.0,3.0,0.301,0.373,0.674,0.113,DeNA
92,2,牧秀悟,12000.0,0.293,143.0,605.0,559.0,164.0,39.0,3.0,29.0,296.0,78.0,103.0,85.0,33.0,7.0,2.0,0.337,0.53,0.867,0.14,DeNA
93,3,タイラー・オースティン,20000.0,0.277,22.0,54.0,47.0,13.0,6.0,0.0,0.0,19.0,5.0,6.0,13.0,6.0,0.0,0.0,0.352,0.404,0.756,0.241,DeNA
94,5,松尾汐恩,1000.0,,,,,,,,,,,,,,,,,,,,DeNA
95,6,森敬斗,2000.0,0.167,9.0,14.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.231,0.167,0.397,0.071,DeNA
96,7,佐野恵太,17000.0,0.264,141.0,613.0,560.0,148.0,26.0,2.0,13.0,217.0,67.0,65.0,77.0,46.0,4.0,0.0,0.323,0.388,0.711,0.126,DeNA
97,8,神里和毅,4500.0,0.163,64.0,53.0,49.0,8.0,1.0,1.0,0.0,11.0,11.0,3.0,16.0,3.0,1.0,0.0,0.226,0.224,0.451,0.302,DeNA
98,9,大和,8000.0,0.235,88.0,230.0,213.0,50.0,4.0,0.0,0.0,54.0,12.0,18.0,23.0,14.0,0.0,1.0,0.282,0.254,0.535,0.1,DeNA
99,10,戸柱恭孝,4000.0,0.242,70.0,181.0,165.0,40.0,8.0,1.0,5.0,65.0,11.0,19.0,30.0,13.0,0.0,0.0,0.296,0.394,0.69,0.166,DeNA
100,23,藤田一也,1800.0,0.286,23.0,24.0,21.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.348,0.333,0.681,0.208,DeNA
101,028,勝又温史,620.0,,,,,,,,,,,,,,,,,,,,DeNA
102,29,伊藤光,11000.0,0.225,61.0,176.0,160.0,36.0,8.0,0.0,1.0,47.0,11.0,8.0,41.0,9.0,2.0,0.0,0.273,0.294,0.567,0.233,DeNA
103,31,柴田竜拓,5600.0,0.143,86.0,66.0,49.0,7.0,1.0,1.0,0.0,10.0,7.0,2.0,9.0,9.0,2.0,0.0,0.3,0.204,0.504,0.136,DeNA
104,32,益子京右,600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DeNA
105,33,粟飯原龍之介,610.0,,,,,,,,,,,,,,,,,,,,DeNA
106,37,楠本泰史,3600.0,0.191,94.0,176.0,157.0,30.0,9.0,0.0,2.0,45.0,14.0,21.0,35.0,11.0,3.0,0.0,0.253,0.287,0.539,0.199,DeNA
107,38,田中俊太,1600.0,,,,,,,,,,,,,,,,,,,,DeNA
108,39,西浦直亨,2600.0,0.111,13.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.111,0.111,0.222,0.444,DeNA
109,42,アンバギー,3500.0,0.125,4.0,8.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375,DeNA
110,44,小深田大地,560.0,,,,,,,,,,,,,,,,,,,,DeNA
111,50,山本祐大,1030.0,0.277,71.0,200.0,173.0,48.0,7.0,1.0,3.0,66.0,18.0,16.0,26.0,18.0,1.0,0.0,0.347,0.382,0.729,0.13,DeNA
112,51,宮崎敏郎,20000.0,0.326,124.0,461.0,408.0,133.0,27.0,0.0,20.0,220.0,47.0,71.0,43.0,41.0,8.0,1.0,0.395,0.539,0.934,0.093,DeNA
113,57,東妻純平,600.0,,,,,,,,,,,,,,,,,,,,DeNA
114,58,梶原昂希,690.0,0.226,21.0,54.0,53.0,12.0,2.0,1.0,0.0,16.0,1.0,2.0,18.0,1.0,0.0,1.0,0.241,0.302,0.543,0.333,DeNA
115,60,知野直人,910.0,0.167,39.0,39.0,30.0,5.0,1.0,0.0,2.0,12.0,9.0,5.0,9.0,7.0,1.0,2.0,0.342,0.4,0.742,0.231,DeNA
116,61,蝦名達夫,1600.0,0.14,42.0,51.0,43.0,6.0,1.0,0.0,0.0,7.0,6.0,0.0,12.0,1.0,4.0,1.0,0.229,0.163,0.392,0.235,DeNA
117,63,関根大気,3500.0,0.261,140.0,532.0,482.0,126.0,17.0,3.0,4.0,161.0,69.0,31.0,53.0,29.0,4.0,11.0,0.308,0.334,0.642,0.1,DeNA
118,66,上甲凌大,340.0,,,,,,,,,,,,,,,,,,,,DeNA
119,67,西巻賢二,600.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,DeNA
120,98,京田陽太,5000.0,0.227,93.0,287.0,251.0,57.0,4.0,0.0,1.0,64.0,31.0,9.0,33.0,25.0,2.0,3.0,0.302,0.255,0.557,0.115,DeNA
121,99,ネフタリ・ソト,27000.0,0.234,109.0,399.0,354.0,83.0,22.0,0.0,14.0,147.0,31.0,50.0,99.0,39.0,4.0,0.0,0.316,0.415,0.731,0.248,DeNA
122,100,鈴木蓮,340.0,,,,,,,,,,,,,,,,,,,,DeNA
123,103,村川凪,340.0,,,,,,,,,,,,,,,,,,,,DeNA
124,104,東出直也,340.0,,,,,,,,,,,,,,,,,,,,DeNA
125,105,大橋武尊,340.0,,,,,,,,,,,,,,,,,,,,DeNA
126,00,山本泰寛,2800.0,,,,,,,,,,,,,,,,,,,,阪神
127,0,木浪聖也,2100.0,0.267,127.0,470.0,408.0,109.0,22.0,1.0,1.0,136.0,41.0,41.0,103.0,31.0,4.0,0.0,0.32,0.333,0.653,0.219,阪神
128,1,森下翔太,1600.0,0.237,94.0,377.0,333.0,79.0,14.0,1.0,10.0,125.0,42.0,41.0,70.0,29.0,11.0,1.0,0.316,0.375,0.691,0.186,阪神
129,2,梅野隆太郎,16000.0,0.194,72.0,251.0,217.0,42.0,4.0,0.0,1.0,49.0,17.0,19.0,56.0,28.0,2.0,3.0,0.288,0.226,0.514,0.223,阪神
130,3,大山悠輔,13000.0,0.288,143.0,625.0,513.0,148.0,29.0,0.0,19.0,234.0,80.0,78.0,120.0,99.0,5.0,3.0,0.403,0.456,0.859,0.192,阪神
131,4,熊谷敬宥,1750.0,0.333,26.0,9.0,6.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,0.0,3.0,0.5,0.333,0.833,0.222,阪神
132,5,近本光司,17000.0,0.285,129.0,585.0,501.0,143.0,24.0,12.0,8.0,215.0,83.0,54.0,71.0,67.0,12.0,28.0,0.379,0.429,0.809,0.121,阪神
133,7,ノイジー,17940.0,0.24,133.0,516.0,475.0,114.0,13.0,1.0,9.0,156.0,42.0,56.0,85.0,36.0,2.0,0.0,0.295,0.328,0.623,0.165,阪神
134,8,佐藤輝明,8500.0,0.263,132.0,548.0,486.0,128.0,30.0,6.0,24.0,242.0,70.0,92.0,139.0,54.0,4.0,7.0,0.339,0.498,0.837,0.254,阪神
135,9,高山俊,2100.0,,,,,,,,,,,,,,,,,,,,阪神
136,12,坂本誠志郎,2800.0,0.226,84.0,289.0,243.0,55.0,5.0,1.0,0.0,62.0,10.0,21.0,62.0,19.0,4.0,0.0,0.288,0.255,0.543,0.215,阪神
137,25,渡邉諒,5000.0,0.177,59.0,85.0,79.0,14.0,4.0,0.0,2.0,24.0,8.0,10.0,18.0,5.0,0.0,0.0,0.224,0.304,0.527,0.212,阪神
138,26,北條史也,1800.0,,,,,,,,,,,,,,,,,,,,阪神
139,32,井上広大,720.0,0.229,13.0,37.0,35.0,8.0,2.0,1.0,0.0,12.0,3.0,7.0,18.0,2.0,0.0,0.0,0.27,0.343,0.613,0.486,阪神
140,33,糸原健斗,8000.0,0.236,69.0,83.0,72.0,17.0,1.0,0.0,0.0,18.0,1.0,5.0,16.0,9.0,2.0,0.0,0.337,0.25,0.587,0.193,阪神
141,38,小幡竜平,1400.0,0.282,47.0,91.0,78.0,22.0,1.0,1.0,0.0,25.0,12.0,8.0,23.0,8.0,0.0,3.0,0.349,0.321,0.669,0.253,阪神
142,39,榮枝裕貴,800.0,0.333,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.333,0.667,0.25,阪神
143,40,井坪陽生,600.0,,,,,,,,,,,,,,,,,,,,阪神
144,43,高濱祐仁,2200.0,,,,,,,,,,,,,,,,,,,,阪神
145,44,戸井零士,500.0,,,,,,,,,,,,,,,,,,,,阪神
146,45,遠藤成,500.0,,,,,,,,,,,,,,,,,,,,阪神
147,51,中野拓夢,7000.0,0.285,143.0,660.0,575.0,164.0,17.0,5.0,2.0,197.0,80.0,40.0,107.0,57.0,2.0,20.0,0.349,0.343,0.692,0.162,阪神
148,53,島田海吏,3000.0,0.145,101.0,121.0,110.0,16.0,0.0,1.0,1.0,21.0,12.0,6.0,26.0,7.0,3.0,7.0,0.217,0.191,0.408,0.215,阪神
149,55,ミエセス,7000.0,0.222,60.0,143.0,126.0,28.0,3.0,0.0,5.0,46.0,11.0,16.0,45.0,14.0,1.0,0.0,0.301,0.365,0.666,0.315,阪神
150,57,長坂拳弥,1000.0,0.222,10.0,12.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.222,0.222,0.444,0.25,阪神
151,58,前川右京,500.0,0.255,33.0,107.0,94.0,24.0,3.0,2.0,0.0,31.0,6.0,7.0,25.0,9.0,4.0,0.0,0.346,0.33,0.676,0.234,阪神
152,59,藤田健斗,500.0,,,,,,,,,,,,,,,,,,,,阪神
153,60,小野寺暖,820.0,0.347,43.0,83.0,75.0,26.0,2.0,2.0,0.0,32.0,8.0,11.0,12.0,7.0,0.0,0.0,0.402,0.427,0.829,0.145,阪神
154,61,豊田寛,800.0,,,,,,,,,,,,,,,,,,,,阪神
155,62,植田海,1800.0,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,0.5,0.0,0.5,0.0,阪神
156,63,板山祐太郎,1000.0,0.059,12.0,17.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.059,0.059,0.118,0.412,阪神
157,67,高寺望夢,600.0,,,,,,,,,,,,,,,,,,,,阪神
158,68,中川勇斗,460.0,,,,,,,,,,,,,,,,,,,,阪神
159,94,原口文仁,3100.0,0.192,54.0,56.0,52.0,10.0,1.0,0.0,2.0,17.0,2.0,8.0,18.0,3.0,1.0,0.0,0.25,0.327,0.577,0.321,阪神
160,95,片山雄哉,450.0,,,,,,,,,,,,,,,,,,,,阪神
161,121,野口恭佑,300.0,,,,,,,,,,,,,,,,,,,,阪神
162,00,奥村展征,1200.0,0.5,3.0,5.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.4,0.75,1.15,0.4,ヤクルト
163,0,並木秀尊,900.0,0.242,82.0,174.0,161.0,39.0,3.0,1.0,1.0,47.0,37.0,7.0,33.0,8.0,1.0,15.0,0.282,0.292,0.574,0.19,ヤクルト
164,1,山田哲人,50000.0,0.231,105.0,422.0,376.0,87.0,21.0,3.0,14.0,156.0,43.0,40.0,102.0,39.0,3.0,4.0,0.306,0.415,0.721,0.242,ヤクルト
165,3,西浦直亨,2600.0,0.167,6.0,12.0,12.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.167,0.167,0.333,0.417,ヤクルト
166,4,丸山和郁,1500.0,0.206,67.0,106.0,97.0,20.0,5.0,0.0,0.0,25.0,13.0,7.0,27.0,6.0,0.0,7.0,0.252,0.258,0.51,0.255,ヤクルト
167,5,川端慎吾,2500.0,0.319,80.0,105.0,94.0,30.0,3.0,0.0,2.0,39.0,4.0,16.0,10.0,9.0,1.0,0.0,0.385,0.415,0.8,0.095,ヤクルト
168,6,元山飛優,1300.0,0.179,22.0,42.0,39.0,7.0,1.0,0.0,0.0,8.0,1.0,3.0,13.0,0.0,0.0,0.0,0.175,0.205,0.38,0.31,ヤクルト
169,7,長岡秀樹,3300.0,0.227,135.0,488.0,445.0,101.0,19.0,1.0,3.0,131.0,43.0,35.0,57.0,29.0,5.0,4.0,0.281,0.294,0.575,0.117,ヤクルト
170,9,塩見泰隆,8600.0,0.301,51.0,209.0,186.0,56.0,9.0,2.0,8.0,93.0,33.0,31.0,40.0,19.0,3.0,1.0,0.373,0.5,0.873,0.191,ヤクルト
171,10,荒木貴裕,2300.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,ヤクルト
172,13,ホセ・オスナ,15800.0,0.253,134.0,543.0,501.0,127.0,23.0,0.0,23.0,219.0,49.0,71.0,79.0,39.0,1.0,2.0,0.308,0.437,0.745,0.145,ヤクルト
173,022,松井聖,300.0,,,,,,,,,,,,,,,,,,,,ヤクルト
174,023,橋本星哉,280.0,,,,,,,,,,,,,,,,,,,,ヤクルト
175,23,青木宣親,34000.0,0.253,96.0,264.0,217.0,55.0,8.0,0.0,3.0,72.0,25.0,19.0,28.0,39.0,4.0,2.0,0.371,0.332,0.703,0.106,ヤクルト
176,024,岩田幸宏,300.0,,,,,,,,,,,,,,,,,,,,ヤクルト
177,25,サンタナ,27000.0,0.3,136.0,516.0,467.0,140.0,32.0,0.0,18.0,226.0,52.0,66.0,114.0,44.0,2.0,2.0,0.36,0.484,0.844,0.221,ヤクルト
178,025,木須フェリペ,,,,,,,,,,,,,,,,,,,,,ヤクルト
179,27,中村悠平,17000.0,0.226,106.0,376.0,310.0,70.0,14.0,0.0,4.0,96.0,24.0,33.0,59.0,33.0,8.0,0.0,0.313,0.31,0.622,0.157,ヤクルト
180,30,西田明央,2000.0,0.125,8.0,8.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375,ヤクルト
181,31,山崎晃大朗,4000.0,0.241,64.0,153.0,137.0,33.0,2.0,0.0,0.0,35.0,17.0,3.0,33.0,10.0,0.0,9.0,0.293,0.255,0.548,0.216,ヤクルト
