,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
0,11,九里亜蓮,14000.0,2.53,26.0,8.0,8.0,,0.5,3.0,3.0,0.0,0.0,129.0,6.66,58.0,49.0,142.0,8.0,49.0,10.0,2.53,広島
1,12,大道温貴,1300.0,2.72,48.0,3.0,1.0,,0.75,0.0,0.0,0.0,10.0,49.0,8.88,15.0,15.0,44.0,2.0,23.0,3.0,4.17,広島
2,13,森浦大輔,4000.0,6.17,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,6.17,8.0,8.0,11.0,1.0,12.0,0.0,9.26,広島
3,14,大瀬良大地,18000.0,3.61,23.0,6.0,11.0,,0.353,0.0,0.0,0.0,0.0,103.0,7.15,53.0,52.0,117.0,15.0,33.0,4.0,2.29,広島
4,16,森翔平,1400.0,4.53,12.0,4.0,2.0,,0.667,0.0,0.0,0.0,0.0,38.0,6.62,29.0,26.0,58.0,7.0,10.0,1.0,1.74,広島
5,17,岡田明丈,1750.0,,,,,,,,,,,,,,,,,,,,広島
6,18,森下暢仁,11000.0,3.01,20.0,9.0,6.0,,0.6,3.0,1.0,0.0,0.0,94.0,6.43,49.0,44.0,127.0,10.0,36.0,2.0,2.46,広島
7,19,野村祐輔,5500.0,1.16,6.0,1.0,1.0,31.0,0.5,0.0,0.0,0.0,0.0,14.0,4.06,9.0,4.0,30.0,1.0,4.0,1.0,1.16,広島
8,20,栗林良吏,9500.0,2.92,55.0,3.0,7.0,,0.3,0.0,0.0,18.0,15.0,51.0,8.77,18.0,17.0,42.0,4.0,19.0,1.0,3.27,広島
9,21,中崎翔太,5300.0,2.73,35.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,7.0,24.0,6.55,13.0,10.0,25.0,1.0,6.0,2.0,1.64,広島
10,23,薮田和樹,1600.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,4.0,4.0,5.0,1.0,3.0,2.0,6.75,広島
11,24,黒原拓未,1400.0,10.66,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,13.0,9.24,15.0,15.0,21.0,1.0,10.0,0.0,7.11,広島
12,26,益田武尚,1100.0,1.64,8.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,12.0,9.82,2.0,2.0,8.0,1.0,3.0,0.0,2.45,広島
13,28,床田寛樹,5000.0,2.19,24.0,11.0,7.0,156.0,0.611,2.0,2.0,0.0,0.0,86.0,4.96,46.0,38.0,144.0,13.0,28.0,5.0,1.62,広島
14,29,ケムナ誠,2700.0,3.71,24.0,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,25.0,8.44,12.0,11.0,24.0,1.0,13.0,0.0,4.39,広島
15,30,一岡竜司,3200.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島
16,34,高橋昂也,1000.0,,,,,,,,,,,,,,,,,,,,広島
17,36,塹江敦哉,2400.0,5.14,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,10.0,12.86,4.0,4.0,10.0,1.0,3.0,0.0,3.86,広島
18,39,長谷部銀次,800.0,,,,,,,,,,,,,,,,,,,,広島
19,41,矢崎拓也,2800.0,2.81,54.0,4.0,2.0,,0.667,0.0,0.0,24.0,10.0,38.0,6.66,17.0,16.0,48.0,5.0,24.0,0.0,4.21,広島
20,42,ドリュー・アンダーソン,7700.0,2.2,21.0,4.0,1.0,45.0,0.8,0.0,0.0,0.0,2.0,39.0,7.8,12.0,11.0,30.0,2.0,17.0,2.0,3.4,広島
21,43,島内颯太郎,2300.0,2.31,62.0,3.0,3.0,,0.5,0.0,0.0,2.0,39.0,64.0,9.87,17.0,15.0,50.0,3.0,17.0,0.0,2.62,広島
22,45,松本竜也,1600.0,4.35,13.0,0.0,3.0,,0.0,0.0,0.0,1.0,8.0,6.0,5.23,6.0,5.0,13.0,2.0,7.0,0.0,6.1,広島
23,46,河野佳,700.0,9.49,8.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,11.0,8.03,13.0,13.0,19.0,6.0,5.0,1.0,3.65,広島
24,47,斉藤優汰,800.0,,,,,,,,,,,,,,,,,,,,広島
25,48,アドゥワ誠,1000.0,3.24,14.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,13.0,7.02,6.0,6.0,15.0,1.0,2.0,1.0,1.08,広島
26,49,戸根千明,1800.0,4.64,24.0,1.0,0.0,,1.0,0.0,0.0,0.0,5.0,11.0,4.64,14.0,11.0,22.0,3.0,16.0,0.0,6.75,広島
27,53,小林樹斗,550.0,,,,,,,,,,,,,,,,,,,,広島
28,58,藤井黎來,800.0,,,,,,,,,,,,,,,,,,,,広島
29,65,玉村昇悟,1300.0,4.96,9.0,3.0,1.0,,0.75,0.0,0.0,0.0,0.0,44.0,8.74,28.0,25.0,52.0,9.0,11.0,2.0,2.18,広島
30,66,遠藤淳志,2600.0,4.39,8.0,1.0,5.0,41.0,0.167,1.0,1.0,0.0,0.0,22.0,4.83,20.0,20.0,36.0,7.0,15.0,2.0,3.29,広島
31,67,中村祐太,1100.0,1.29,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.86,5.0,1.0,9.0,1.0,1.0,0.0,1.29,広島
32,68,ニック・ターリー,12000.0,1.74,44.0,7.0,1.0,,0.875,0.0,0.0,1.0,22.0,42.0,9.15,10.0,8.0,39.0,1.0,15.0,2.0,3.27,広島
33,98,ロベルト・コルニエル,2000.0,5.1,8.0,1.0,4.0,,0.2,0.0,0.0,0.0,0.0,23.0,4.89,25.0,24.0,46.0,2.0,18.0,2.0,3.83,広島
34,120,行木俊,450.0,,,,,,,,,,,,,,,,,,,,広島
35,122,坂田怜,350.0,,,,,,,,,,,,,,,,,,,,広島
36,125,辻大雅,275.0,,,,,,,,,,,,,,,,,,,,広島
37,126,新家颯,300.0,,,,,,,,,,,,,,,,,,,,広島
38,128,中村来生,300.0,,,,,,,,,,,,,,,,,,,,広島
39,011,笠島尚樹,380.0,,,,,,,,,,,,,,,,,,,,巨人
40,11,平内龍太,2900.0,3.95,11.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,8.0,5.27,6.0,6.0,14.0,3.0,7.0,0.0,4.61,巨人
41,014,京本眞,380.0,,,,,,,,,,,,,,,,,,,,巨人
42,15,大勢,5700.0,4.5,27.0,3.0,0.0,26.0,1.0,0.0,0.0,14.0,1.0,34.0,11.77,13.0,13.0,26.0,4.0,11.0,1.0,3.81,巨人
43,015,川嵜陽仁,370.0,,,,,,,,,,,,,,,,,,,,巨人
44,016,高田竜星,400.0,,,,,,,,,,,,,,,,,,,,巨人
45,017,奈良木陸,360.0,,,,,,,,,,,,,,,,,,,,巨人
46,18,菅野智之,50000.0,3.36,14.0,4.0,8.0,,0.333,0.0,0.0,0.0,0.0,54.0,6.26,30.0,29.0,70.0,10.0,15.0,3.0,1.74,巨人
47,018,木下幹也,390.0,,,,,,,,,,,,,,,,,,,,巨人
48,19,山崎伊織,2500.0,2.72,23.0,10.0,5.0,149.0,0.667,3.0,1.0,0.0,0.0,106.0,6.4,46.0,45.0,119.0,10.0,25.0,7.0,1.51,巨人
49,20,戸郷翔征,9000.0,2.38,24.0,12.0,5.0,170.0,0.706,4.0,2.0,0.0,0.0,141.0,7.46,49.0,45.0,141.0,14.0,39.0,3.0,2.06,巨人
50,020,戸田懐生,730.0,,,,,,,,,,,,,,,,,,,,巨人
51,023,田村朋輝,360.0,,,,,,,,,,,,,,,,,,,,巨人
52,26,今村信貴,4700.0,3.81,24.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,13.0,4.5,12.0,11.0,29.0,1.0,11.0,1.0,3.81,巨人
53,026,吉村優聖歩,360.0,,,,,,,,,,,,,,,,,,,,巨人
54,28,山田龍聖,1100.0,,,,,,,,,,,,,,,,,,,,巨人
55,028,富田龍,410.0,,,,,,,,,,,,,,,,,,,,巨人
56,29,F.グリフィン,10000.0,2.75,20.0,6.0,5.0,121.0,0.545,1.0,0.0,0.0,0.0,115.0,8.55,41.0,37.0,101.0,8.0,29.0,6.0,2.16,巨人
57,30,鍵谷陽平,6300.0,3.18,13.0,2.0,0.0,,1.0,0.0,0.0,1.0,2.0,11.0,8.74,4.0,4.0,10.0,1.0,5.0,0.0,3.97,巨人
58,030,山崎友輔,420.0,,,,,,,,,,,,,,,,,,,,巨人
59,31,赤星優志,2200.0,3.39,12.0,5.0,5.0,69.0,0.5,0.0,0.0,0.0,0.0,64.0,8.35,27.0,26.0,70.0,5.0,13.0,4.0,1.7,巨人
60,32,鈴木康平,1700.0,6.59,33.0,1.0,1.0,,0.5,0.0,0.0,0.0,13.0,26.0,8.56,20.0,20.0,24.0,6.0,14.0,3.0,4.61,巨人
61,33,T.ビーディ,16000.0,3.99,30.0,0.0,6.0,,0.0,0.0,0.0,1.0,7.0,36.0,6.52,23.0,22.0,51.0,5.0,21.0,4.0,3.81,巨人
62,033,太田龍,800.0,,,,,,,,,,,,,,,,,,,,巨人
63,034,森本哲星,360.0,,,,,,,,,,,,,,,,,,,,巨人
64,035,ルシアーノ,1000.0,,,,,,,,,,,,,,,,,,,,巨人
65,040,谷岡竜平,785.0,,,,,,,,,,,,,,,,,,,,巨人
66,41,中川皓太,7500.0,2.08,44.0,1.0,4.0,,0.2,0.0,0.0,14.0,17.0,38.0,7.89,10.0,10.0,37.0,3.0,9.0,1.0,1.87,巨人
67,45,畠世周,3300.0,,,,,,,,,,,,,,,,,,,,巨人
68,46,鍬原拓也,2900.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,7.2,5.0,5.0,7.0,0.0,3.0,2.0,5.4,巨人
69,47,高橋優貴,3000.0,5.14,6.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,5.79,9.0,8.0,18.0,2.0,8.0,2.0,5.14,巨人
70,047,鴨打瑛二,370.0,,,,,,,,,,,,,,,,,,,,巨人
71,48,田中千晴,1000.0,5.51,30.0,2.0,3.0,,0.4,0.0,0.0,0.0,3.0,41.0,11.3,22.0,20.0,30.0,4.0,19.0,0.0,5.23,巨人
72,49,アルベルト・バルドナード,,1.69,21.0,2.0,1.0,,0.667,0.0,0.0,0.0,7.0,21.0,8.86,5.0,4.0,15.0,2.0,10.0,0.0,4.22,巨人
73,051,阿部剣友,380.0,,,,,,,,,,,,,,,,,,,,巨人
74,53,高梨雄平,11000.0,4.19,55.0,2.0,1.0,43.0,0.667,0.0,0.0,0.0,23.0,49.0,10.26,21.0,20.0,32.0,7.0,19.0,4.0,3.98,巨人
75,54,直江大輔,910.0,3.86,16.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,6.0,11.0,7.07,7.0,6.0,7.0,2.0,9.0,0.0,5.79,巨人
76,56,石田隼都,610.0,,,,,,,,,,,,,,,,,,,,巨人
77,056,伊藤優輔,800.0,,,,,,,,,,,,,,,,,,,,巨人
78,57,高木京介,2000.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,巨人
79,58,船迫大雅,800.0,2.7,36.0,3.0,1.0,30.0,0.75,0.0,0.0,0.0,8.0,33.0,9.9,9.0,9.0,21.0,3.0,8.0,3.0,2.4,巨人
80,058,山本一輝,650.0,,,,,,,,,,,,,,,,,,,,巨人
81,62,横川凱,660.0,3.95,20.0,4.0,8.0,,0.333,0.0,0.0,0.0,0.0,46.0,4.91,38.0,37.0,79.0,10.0,24.0,4.0,2.56,巨人
