,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
0,0,上本崇司,1400.0,0.307,94.0,300.0,261.0,80.0,9.0,1.0,2.0,97.0,36.0,18.0,31.0,21.0,8.0,2.0,0.376,0.372,0.748,0.103,広島
1,00,曽根海成,1150.0,0.0,44.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.429,広島
2,2,田中広輔,15000.0,0.2,41.0,45.0,40.0,8.0,1.0,1.0,0.0,11.0,2.0,1.0,14.0,3.0,1.0,0.0,0.267,0.275,0.542,0.311,広島
3,5,長野久義,12000.0,0.211,58.0,134.0,123.0,26.0,5.0,0.0,3.0,40.0,11.0,15.0,34.0,10.0,0.0,2.0,0.269,0.325,0.594,0.254,広島
4,6,安部友裕,2750.0,,,,,,,,,,,,,,,,,,,,広島
5,7,堂林翔太,3600.0,0.243,101.0,274.0,255.0,62.0,16.0,0.0,8.0,102.0,25.0,28.0,82.0,11.0,2.0,1.0,0.279,0.4,0.679,0.299,広島
6,9,秋山翔吾,15000.0,0.265,44.0,174.0,155.0,41.0,6.0,1.0,5.0,64.0,19.0,26.0,34.0,11.0,6.0,0.0,0.333,0.413,0.746,0.195,広島
7,10,ライアン・マクブルーム,7700.0,0.272,128.0,508.0,448.0,122.0,25.0,0.0,17.0,198.0,57.0,74.0,105.0,52.0,5.0,0.0,0.352,0.442,0.794,0.207,広島
8,22,中村奨成,900.0,0.193,27.0,58.0,57.0,11.0,2.0,0.0,0.0,13.0,1.0,5.0,8.0,1.0,0.0,0.0,0.207,0.228,0.435,0.138,広島
9,27,會澤翼,1000.0,0.207,98.0,325.0,290.0,60.0,10.0,0.0,3.0,79.0,18.0,33.0,49.0,23.0,6.0,0.0,0.276,0.272,0.548,0.151,広島
10,31,坂倉将吾,5000.0,0.288,143.0,599.0,539.0,155.0,18.0,3.0,16.0,227.0,73.0,68.0,81.0,46.0,10.0,2.0,0.352,0.421,0.773,0.135,広島
11,32,白濱裕太,2750.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,広島
12,33,菊池涼介,30000.0,0.262,123.0,522.0,462.0,121.0,25.0,1.0,6.0,166.0,51.0,45.0,70.0,24.0,2.0,2.0,0.3,0.359,0.659,0.134,広島
13,35,三好匠,1350.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島
