,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
14,37,野間峻祥,3100.0,0.312,85.0,338.0,317.0,99.0,21.0,3.0,0.0,126.0,42.0,16.0,53.0,16.0,1.0,7.0,0.347,0.397,0.745,0.157,広島
15,38,宇草孔基,1200.0,0.205,45.0,98.0,88.0,18.0,2.0,0.0,1.0,23.0,6.0,6.0,23.0,4.0,5.0,0.0,0.278,0.261,0.54,0.235,広島
16,40,磯村嘉孝,1400.0,0.237,43.0,126.0,114.0,27.0,5.0,0.0,3.0,41.0,18.0,15.0,20.0,7.0,2.0,0.0,0.293,0.36,0.652,0.159,広島
17,44,林晃汰,1500.0,,,,,,,,,,,,,,,,,,,,広島
18,49,正隨優弥,750.0,,,,,,,,,,,,,,,,,,,,広島
19,50,中村健人,1100.0,0.24,63.0,137.0,121.0,29.0,3.0,0.0,3.0,41.0,12.0,10.0,31.0,8.0,0.0,0.0,0.285,0.339,0.623,0.226,広島
20,51,小園海斗,2100.0,0.266,127.0,511.0,473.0,126.0,12.0,6.0,7.0,171.0,57.0,38.0,76.0,24.0,1.0,2.0,0.3,0.362,0.662,0.149,広島
21,52,末包昇大,1000.0,0.299,31.0,80.0,77.0,23.0,3.0,1.0,2.0,34.0,9.0,14.0,20.0,1.0,0.0,0.0,0.3,0.442,0.742,0.25,広島
22,54,韮澤雄也,500.0,0.1,7.0,12.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.182,0.1,0.282,0.083,広島
23,55,松山竜平,7500.0,0.217,88.0,166.0,152.0,33.0,7.0,0.0,2.0,46.0,9.0,23.0,22.0,11.0,0.0,0.0,0.265,0.303,0.568,0.133,広島
24,56,中神拓都,450.0,,,,,,,,,,,,,,,,,,,,広島
25,59,大盛穂,1100.0,0.203,52.0,76.0,69.0,14.0,2.0,2.0,1.0,23.0,8.0,3.0,17.0,6.0,1.0,0.0,0.276,0.333,0.61,0.224,広島
26,60,田村俊介,500.0,,,,,,,,,,,,,,,,,,,,広島
27,61,矢野雅哉,600.0,0.194,55.0,78.0,67.0,13.0,0.0,0.0,2.0,19.0,11.0,5.0,21.0,7.0,1.0,0.0,0.28,0.284,0.564,0.269,広島
28,62,石原貴規,1200.0,0.154,9.0,16.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.214,0.154,0.368,0.188,広島
29,63,西川龍馬,7600.0,0.315,97.0,424.0,390.0,123.0,19.0,3.0,10.0,178.0,60.0,53.0,74.0,30.0,2.0,2.0,0.366,0.456,0.822,0.175,広島
30,64,高木翔斗,450.0,,,,,,,,,,,,,,,,,,,,広島
31,69,羽月隆太郎,1000.0,0.245,44.0,99.0,94.0,23.0,5.0,2.0,0.0,32.0,10.0,10.0,17.0,4.0,0.0,2.0,0.276,0.34,0.616,0.172,広島
32,95,持丸泰輝,350.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島
33,121,二俣翔一,300.0,,,,,,,,,,,,,,,,,,,,広島
34,124,木下元秀,350.0,,,,,,,,,,,,,,,,,,,,広島
35,127,前川誠太,250.0,,,,,,,,,,,,,,,,,,,,広島
36,00,湯浅大,800.0,0.1,63.0,36.0,30.0,3.0,1.0,0.0,1.0,7.0,11.0,3.0,10.0,4.0,0.0,3.0,0.206,0.233,0.439,0.278,巨人
37,0,増田大輝,2100.0,0.15,58.0,22.0,20.0,3.0,1.0,0.0,0.0,4.0,14.0,0.0,5.0,1.0,0.0,11.0,0.19,0.2,0.39,0.227,巨人
38,001,加藤廉,410.0,,,,,,,,,,,,,,,,,,,,巨人
39,2,吉川尚輝,3700.0,0.277,132.0,567.0,516.0,143.0,20.0,6.0,7.0,196.0,64.0,31.0,53.0,32.0,8.0,16.0,0.329,0.38,0.708,0.093,巨人
40,003,鈴木大和,400.0,,,,,,,,,,,,,,,,,,,,巨人
41,5,中島宏之,5200.0,0.242,62.0,111.0,99.0,24.0,6.0,0.0,1.0,33.0,5.0,20.0,24.0,10.0,1.0,0.0,0.315,0.333,0.649,0.216,巨人
42,006,坂本勇人,370.0,,,,,,,,,,,,,,,,,,,,巨人
43,6,坂本勇人,60000.0,0.286,83.0,352.0,304.0,87.0,14.0,0.0,5.0,116.0,35.0,33.0,65.0,45.0,1.0,2.0,0.378,0.382,0.759,0.185,巨人
44,007,ホセ・デラクルーズ,220.0,,,,,,,,,,,,,,,,,,,,巨人
45,8,丸佳浩,45000.0,0.272,143.0,607.0,525.0,143.0,31.0,1.0,27.0,257.0,81.0,65.0,88.0,80.0,1.0,6.0,0.37,0.49,0.859,0.145,巨人
46,9,松原聖弥,4000.0,0.113,50.0,76.0,71.0,8.0,1.0,1.0,0.0,11.0,7.0,4.0,21.0,4.0,0.0,2.0,0.16,0.155,0.315,0.276,巨人
47,009,笹原操希,360.0,,,,,,,,,,,,,,,,,,,,巨人
48,010,大津綾也,360.0,,,,,,,,,,,,,,,,,,,,巨人
49,10,中田翔,15000.0,0.269,109.0,375.0,338.0,91.0,8.0,0.0,24.0,171.0,39.0,68.0,72.0,27.0,4.0,0.0,0.327,0.506,0.833,0.192,巨人
50,13,梶谷隆幸,20000.0,,,,,,,,,,,,,,,,,,,,巨人
51,013,フリアン・ティマ,220.0,,,,,,,,,,,,,,,,,,,,巨人
52,021,黒田響生,275.0,,,,,,,,,,,,,,,,,,,,巨人
53,22,小林誠司,10000.0,0.148,60.0,91.0,88.0,13.0,5.0,0.0,0.0,18.0,4.0,5.0,20.0,1.0,0.0,0.0,0.157,0.205,0.362,0.22,巨人
54,022,亀田啓太,400.0,,,,,,,,,,,,,,,,,,,,巨人
55,23,グレゴリー・ポランコ,25000.0,0.24,138.0,484.0,438.0,105.0,21.0,1.0,24.0,200.0,55.0,58.0,109.0,42.0,1.0,2.0,0.306,0.457,0.762,0.225,巨人
56,24,大城卓三,5500.0,0.266,115.0,393.0,346.0,92.0,11.0,1.0,13.0,144.0,24.0,43.0,77.0,36.0,2.0,1.0,0.339,0.416,0.755,0.196,巨人
57,024,前田研輝,410.0,,,,,,,,,,,,,,,,,,,,巨人
58,25,岡本和真,30000.0,0.252,140.0,589.0,520.0,131.0,21.0,1.0,30.0,244.0,63.0,82.0,94.0,58.0,9.0,1.0,0.336,0.469,0.805,0.16,巨人
59,025,岡本大翔,370.0,,,,,,,,,,,,,,,,,,,,巨人
60,27,岸田行倫,1600.0,0.257,25.0,38.0,35.0,9.0,0.0,0.0,0.0,9.0,1.0,1.0,6.0,2.0,1.0,0.0,0.316,0.257,0.573,0.158,巨人
61,32,廣岡大志,1900.0,0.18,28.0,60.0,50.0,9.0,3.0,1.0,0.0,14.0,5.0,4.0,16.0,7.0,1.0,0.0,0.293,0.28,0.573,0.267,巨人
62,36,石川慎吾,1900.0,0.276,22.0,32.0,29.0,8.0,3.0,0.0,0.0,11.0,3.0,2.0,9.0,3.0,0.0,0.0,0.344,0.379,0.723,0.281,巨人
63,37,若林晃弘,2800.0,0.2,43.0,91.0,80.0,16.0,3.0,0.0,0.0,19.0,3.0,8.0,24.0,7.0,0.0,0.0,0.261,0.237,0.499,0.264,巨人
64,38,岡田悠希,800.0,0.095,33.0,22.0,21.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.136,0.095,0.232,0.318,巨人
65,39,立岡宗一郎,2000.0,0.204,54.0,57.0,54.0,11.0,1.0,0.0,1.0,15.0,11.0,3.0,10.0,3.0,0.0,3.0,0.246,0.278,0.523,0.175,巨人
66,40,中山礼都,610.0,0.198,50.0,142.0,131.0,26.0,1.0,0.0,0.0,27.0,8.0,3.0,27.0,6.0,0.0,3.0,0.234,0.206,0.44,0.19,巨人
67,43,重信慎之介,2700.0,0.216,77.0,128.0,111.0,24.0,3.0,0.0,0.0,27.0,16.0,9.0,28.0,8.0,1.0,7.0,0.275,0.243,0.518,0.219,巨人
68,44,アダム・ウォーカー,3400.0,0.271,124.0,428.0,406.0,110.0,28.0,1.0,23.0,209.0,58.0,52.0,98.0,18.0,3.0,5.0,0.306,0.515,0.821,0.229,巨人
69,48,ウィーラー,11000.0,0.196,30.0,64.0,56.0,11.0,2.0,0.0,2.0,19.0,2.0,5.0,7.0,8.0,0.0,0.0,0.297,0.339,0.636,0.109,巨人
70,51,八百板卓丸,720.0,0.227,39.0,48.0,44.0,10.0,2.0,0.0,0.0,12.0,4.0,0.0,17.0,4.0,0.0,0.0,0.292,0.273,0.564,0.354,巨人
71,52,北村拓己,1800.0,0.173,33.0,55.0,52.0,9.0,1.0,1.0,0.0,12.0,3.0,1.0,16.0,1.0,1.0,0.0,0.204,0.231,0.434,0.291,巨人
72,55,秋広優人,600.0,,,,,,,,,,,,,,,,,,,,巨人
73,055,保科広一,410.0,,,,,,,,,,,,,,,,,,,,巨人
74,60,菊田拡和,610.0,,,,,,,,,,,,,,,,,,,,巨人
75,61,増田陸,610.0,0.25,69.0,156.0,140.0,35.0,6.0,0.0,5.0,56.0,15.0,16.0,42.0,13.0,1.0,2.0,0.318,0.4,0.718,0.269,巨人
76,66,香月一也,1200.0,0.2,15.0,37.0,35.0,7.0,2.0,0.0,0.0,9.0,5.0,2.0,8.0,2.0,0.0,0.0,0.243,0.257,0.5,0.216,巨人
77,67,山瀬慎之助,570.0,0.182,8.0,11.0,11.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.182,0.273,0.455,0.182,巨人
78,69,萩原哲,690.0,,,,,,,,,,,,,,,,,,,,巨人
79,92,勝俣翔貴,750.0,,,,,,,,,,,,,,,,,,,,巨人
80,093,平間隼人,460.0,,,,,,,,,,,,,,,,,,,,巨人
81,94,喜多隆介,460.0,0.111,14.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.111,0.111,0.222,0.111,巨人
82,097,伊藤海斗,520.0,,,,,,,,,,,,,,,,,,,,巨人
83,098,エスタミー・ウレーニャ,990.0,,,,,,,,,,,,,,,,,,,,巨人
84,00,宮本秀明,865.0,0.139,29.0,39.0,36.0,5.0,0.0,2.0,1.0,12.0,6.0,2.0,8.0,2.0,0.0,0.0,0.184,0.333,0.518,0.205,DeNA
85,0,大田泰示,5000.0,0.278,62.0,153.0,144.0,40.0,10.0,1.0,5.0,67.0,17.0,18.0,33.0,6.0,1.0,0.0,0.309,0.465,0.774,0.216,DeNA
86,1,桑原将志,10500.0,0.257,130.0,529.0,475.0,122.0,32.0,1.0,4.0,168.0,61.0,39.0,89.0,42.0,4.0,13.0,0.322,0.354,0.676,0.168,DeNA
87,2,牧秀悟,7000.0,0.291,135.0,568.0,509.0,148.0,36.0,1.0,24.0,258.0,63.0,87.0,82.0,43.0,10.0,3.0,0.354,0.507,0.861,0.144,DeNA
88,3,藤田一也,1800.0,0.25,33.0,40.0,36.0,9.0,0.0,0.0,0.0,9.0,1.0,5.0,5.0,4.0,0.0,0.0,0.325,0.25,0.575,0.125,DeNA
89,4,伊藤裕季也,900.0,0.077,7.0,13.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.077,0.077,0.154,0.462,DeNA
90,5,倉本寿彦,4120.0,0.173,44.0,54.0,52.0,9.0,0.0,0.0,1.0,12.0,3.0,2.0,12.0,1.0,0.0,0.0,0.189,0.231,0.419,0.222,DeNA
91,6,森敬斗,1350.0,0.234,61.0,168.0,154.0,36.0,3.0,0.0,2.0,45.0,15.0,6.0,42.0,13.0,0.0,5.0,0.293,0.292,0.586,0.25,DeNA
92,7,佐野恵太,11000.0,0.306,133.0,574.0,526.0,161.0,29.0,1.0,22.0,258.0,63.0,72.0,57.0,43.0,4.0,2.0,0.362,0.49,0.853,0.099,DeNA
93,8,神里和毅,4780.0,0.189,81.0,107.0,95.0,18.0,4.0,3.0,1.0,31.0,12.0,10.0,26.0,8.0,3.0,6.0,0.274,0.326,0.6,0.243,DeNA
94,9,大和,9000.0,0.247,91.0,277.0,259.0,64.0,13.0,0.0,1.0,80.0,22.0,18.0,47.0,10.0,1.0,1.0,0.277,0.309,0.586,0.17,DeNA
95,10,戸柱恭孝,3740.0,0.264,72.0,151.0,144.0,38.0,5.0,0.0,4.0,55.0,12.0,16.0,26.0,3.0,1.0,0.0,0.28,0.382,0.662,0.172,DeNA
96,23,タイラー・オースティン,20000.0,0.156,38.0,38.0,32.0,5.0,2.0,0.0,1.0,10.0,3.0,3.0,14.0,6.0,0.0,0.0,0.289,0.312,0.602,0.368,DeNA
97,028,勝又温史,620.0,,,,,,,,,,,,,,,,,,,,DeNA
98,29,伊藤光,11000.0,0.277,40.0,103.0,94.0,26.0,7.0,0.0,0.0,33.0,9.0,8.0,23.0,8.0,1.0,0.0,0.34,0.351,0.691,0.223,DeNA
99,31,柴田竜拓,5900.0,0.195,96.0,198.0,169.0,33.0,5.0,1.0,0.0,40.0,17.0,1.0,29.0,20.0,1.0,1.0,0.284,0.237,0.521,0.146,DeNA
100,32,益子京右,580.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,DeNA
101,33,粟飯原龍之介,610.0,,,,,,,,,,,,,,,,,,,,DeNA
102,36,高城俊人,1200.0,,,,,,,,,,,,,,,,,,,,DeNA
103,37,楠本泰史,2310.0,0.252,94.0,327.0,282.0,71.0,13.0,0.0,6.0,102.0,27.0,26.0,55.0,23.0,7.0,6.0,0.322,0.362,0.683,0.168,DeNA
104,38,田中俊太,1700.0,0.158,19.0,19.0,19.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.158,0.158,0.316,0.158,DeNA
105,39,嶺井博希,2700.0,0.205,93.0,262.0,244.0,50.0,7.0,0.0,5.0,72.0,15.0,30.0,54.0,6.0,5.0,0.0,0.237,0.295,0.532,0.206,DeNA
106,44,小深田大地,560.0,,,,,,,,,,,,,,,,,,,,DeNA
107,50,山本祐大,1030.0,0.103,17.0,32.0,29.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,0.156,0.138,0.294,0.125,DeNA
108,51,宮崎敏郎,20000.0,0.3,122.0,482.0,434.0,130.0,24.0,1.0,16.0,204.0,51.0,50.0,35.0,44.0,2.0,0.0,0.365,0.47,0.835,0.073,DeNA
109,52,細川成也,1040.0,0.053,18.0,20.0,19.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,9.0,1.0,0.0,0.0,0.1,0.211,0.311,0.45,DeNA
110,55,田部隼人,560.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,DeNA
111,57,東妻純平,600.0,,,,,,,,,,,,,,,,,,,,DeNA
112,58,梶原昂希,690.0,0.267,6.0,15.0,15.0,4.0,0.0,0.0,1.0,7.0,2.0,2.0,9.0,0.0,0.0,0.0,0.267,0.467,0.733,0.6,DeNA
113,60,知野直人,910.0,0.154,16.0,14.0,13.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,1.0,0.0,1.0,0.214,0.154,0.368,0.357,DeNA
114,61,蝦名達夫,935.0,0.247,61.0,181.0,158.0,39.0,4.0,0.0,3.0,52.0,21.0,8.0,43.0,10.0,6.0,6.0,0.316,0.329,0.645,0.238,DeNA
115,63,関根大気,2200.0,0.254,104.0,225.0,201.0,51.0,7.0,1.0,1.0,63.0,28.0,13.0,31.0,9.0,3.0,5.0,0.293,0.313,0.606,0.138,DeNA
116,66,山下幸輝,1380.0,0.083,12.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.083,0.083,0.167,0.25,DeNA
117,99,ネフタリ・ソト,27000.0,0.266,117.0,412.0,368.0,98.0,25.0,0.0,17.0,174.0,35.0,49.0,103.0,38.0,5.0,0.0,0.342,0.473,0.815,0.25,DeNA
118,103,村川凪,340.0,,,,,,,,,,,,,,,,,,,,DeNA
119,104,東出直也,340.0,,,,,,,,,,,,,,,,,,,,DeNA
120,105,大橋武尊,340.0,,,,,,,,,,,,,,,,,,,,DeNA
121,00,山本泰寛,1900.0,0.249,86.0,203.0,181.0,45.0,4.0,0.0,2.0,55.0,19.0,15.0,42.0,10.0,1.0,3.0,0.29,0.304,0.594,0.207,阪神
122,0,木浪聖也,2600.0,0.204,41.0,101.0,93.0,19.0,4.0,0.0,1.0,26.0,6.0,6.0,19.0,5.0,1.0,0.0,0.253,0.28,0.532,0.188,阪神
123,2,梅野隆太郎,16000.0,0.228,100.0,331.0,294.0,67.0,2.0,1.0,4.0,83.0,26.0,25.0,77.0,30.0,0.0,2.0,0.298,0.282,0.581,0.233,阪神
124,3,大山悠輔,10000.0,0.267,124.0,510.0,439.0,117.0,18.0,1.0,23.0,206.0,54.0,87.0,103.0,59.0,6.0,0.0,0.358,0.469,0.827,0.202,阪神
125,4,熊谷敬宥,1300.0,0.156,63.0,52.0,45.0,7.0,0.0,0.0,0.0,7.0,8.0,3.0,10.0,0.0,0.0,7.0,0.152,0.156,0.308,0.192,阪神
126,5,近本光司,15000.0,0.293,132.0,580.0,525.0,154.0,16.0,3.0,3.0,185.0,71.0,34.0,63.0,41.0,7.0,30.0,0.352,0.352,0.704,0.109,阪神
127,7,糸井嘉男,8500.0,0.227,62.0,182.0,163.0,37.0,3.0,0.0,3.0,49.0,12.0,22.0,29.0,16.0,2.0,0.0,0.302,0.301,0.603,0.159,阪神
128,8,佐藤輝明,4200.0,0.264,143.0,603.0,541.0,143.0,35.0,8.0,20.0,254.0,70.0,84.0,137.0,51.0,4.0,11.0,0.328,0.47,0.798,0.227,阪神
129,9,高山俊,2300.0,0.189,38.0,56.0,53.0,10.0,2.0,0.0,0.0,12.0,1.0,0.0,12.0,2.0,0.0,2.0,0.218,0.226,0.445,0.214,阪神
130,12,坂本誠志郎,2200.0,0.189,60.0,151.0,127.0,24.0,3.0,0.0,0.0,27.0,5.0,6.0,26.0,13.0,4.0,0.0,0.285,0.213,0.497,0.172,阪神
131,24,メル・ロハス・ジュニア,25750.0,0.224,89.0,211.0,183.0,41.0,7.0,0.0,9.0,75.0,19.0,27.0,53.0,22.0,5.0,0.0,0.322,0.41,0.732,0.251,阪神
132,25,江越大賀,1100.0,0.0,24.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0,0.2,0.0,0.2,0.6,阪神
133,26,北條史也,1900.0,0.186,32.0,48.0,43.0,8.0,1.0,0.0,1.0,12.0,5.0,7.0,6.0,2.0,0.0,0.0,0.217,0.279,0.496,0.125,阪神
134,31,ジェフリー・マルテ,19300.0,0.256,33.0,102.0,90.0,23.0,1.0,0.0,1.0,27.0,8.0,11.0,19.0,8.0,2.0,0.0,0.324,0.3,0.624,0.186,阪神
135,32,井上広大,720.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,阪神
136,33,糸原健斗,7900.0,0.247,132.0,495.0,445.0,110.0,12.0,1.0,3.0,133.0,31.0,36.0,48.0,35.0,5.0,2.0,0.307,0.299,0.606,0.097,阪神
137,38,小幡竜平,1100.0,0.188,49.0,73.0,69.0,13.0,1.0,0.0,1.0,17.0,7.0,5.0,21.0,2.0,0.0,0.0,0.208,0.246,0.455,0.288,阪神
138,39,榮枝裕貴,800.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,阪神
139,45,遠藤成,500.0,,,,,,,,,,,,,,,,,,,,阪神
140,51,中野拓夢,3700.0,0.276,135.0,610.0,569.0,157.0,16.0,3.0,6.0,197.0,69.0,25.0,89.0,18.0,3.0,23.0,0.301,0.346,0.647,0.146,阪神
141,53,島田海吏,1350.0,0.264,123.0,339.0,311.0,82.0,7.0,2.0,0.0,93.0,36.0,17.0,56.0,15.0,3.0,21.0,0.303,0.299,0.602,0.165,阪神
142,55,陽川尚将,2050.0,0.294,45.0,75.0,68.0,20.0,6.0,0.0,1.0,29.0,6.0,6.0,20.0,4.0,2.0,0.0,0.351,0.426,0.778,0.267,阪神
143,57,長坂拳弥,700.0,0.175,27.0,46.0,40.0,7.0,1.0,1.0,0.0,10.0,2.0,1.0,16.0,0.0,0.0,0.0,0.175,0.25,0.425,0.348,阪神
144,58,前川右京,500.0,,,,,,,,,,,,,,,,,,,,阪神
145,59,藤田健斗,500.0,,,,,,,,,,,,,,,,,,,,阪神
146,61,豊田寛,800.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.125,0.0,0.125,0.444,阪神
147,62,植田海,1750.0,0.25,57.0,14.0,12.0,3.0,0.0,0.0,0.0,3.0,10.0,1.0,1.0,2.0,0.0,4.0,0.357,0.25,0.607,0.071,阪神
148,63,板山祐太郎,1000.0,0.125,14.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.222,0.125,0.347,0.444,阪神
149,67,高寺望夢,480.0,0.13,8.0,27.0,23.0,3.0,3.0,0.0,0.0,6.0,0.0,2.0,5.0,2.0,0.0,1.0,0.192,0.261,0.453,0.185,阪神
150,68,中川勇斗,460.0,,,,,,,,,,,,,,,,,,,,阪神
151,91,アデルリン・ロドリゲス,3400.0,0.154,24.0,70.0,65.0,10.0,2.0,0.0,2.0,18.0,5.0,9.0,17.0,2.0,2.0,0.0,0.2,0.277,0.477,0.243,阪神
152,94,原口文仁,2500.0,0.324,33.0,83.0,71.0,23.0,2.0,0.0,2.0,31.0,5.0,10.0,5.0,9.0,0.0,0.0,0.39,0.437,0.827,0.06,阪神
153,95,片山雄哉,420.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,阪神
154,97,小野寺暖,650.0,0.136,32.0,45.0,44.0,6.0,1.0,1.0,1.0,12.0,3.0,7.0,12.0,1.0,0.0,0.0,0.156,0.273,0.428,0.267,阪神
155,00,奥村展征,1050.0,0.146,43.0,44.0,41.0,6.0,0.0,0.0,0.0,6.0,5.0,2.0,16.0,2.0,0.0,0.0,0.186,0.146,0.332,0.364,ヤクルト
156,0,並木秀尊,850.0,0.182,14.0,23.0,22.0,4.0,0.0,2.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,2.0,0.182,0.364,0.545,0.13,ヤクルト
157,1,山田哲人,50000.0,0.243,130.0,540.0,469.0,114.0,31.0,0.0,23.0,214.0,69.0,65.0,140.0,60.0,6.0,10.0,0.333,0.456,0.79,0.259,ヤクルト
158,2,パトリック・キブレハン,6000.0,0.241,29.0,87.0,83.0,20.0,3.0,0.0,6.0,41.0,10.0,14.0,21.0,2.0,1.0,0.0,0.264,0.494,0.758,0.241,ヤクルト
159,3,西浦直亨,3300.0,0.071,6.0,15.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.071,0.071,0.143,0.533,ヤクルト
160,4,丸山和郁,1200.0,0.233,71.0,97.0,90.0,21.0,4.0,0.0,1.0,28.0,14.0,9.0,25.0,1.0,2.0,2.0,0.258,0.311,0.569,0.258,ヤクルト
161,5,川端慎吾,5000.0,0.175,52.0,64.0,57.0,10.0,1.0,0.0,0.0,11.0,1.0,7.0,7.0,4.0,1.0,0.0,0.234,0.193,0.427,0.109,ヤクルト
162,6,元山飛優,1500.0,0.148,13.0,28.0,27.0,4.0,3.0,0.0,1.0,10.0,4.0,2.0,5.0,0.0,0.0,0.0,0.148,0.37,0.519,0.179,ヤクルト
163,7,内川聖一,4000.0,0.25,7.0,17.0,16.0,4.0,2.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,0.0,0.0,0.294,0.375,0.669,0.118,ヤクルト
164,8,中山翔太,1200.0,,,,,,,,,,,,,,,,,,,,ヤクルト
165,9,塩見泰隆,4500.0,0.276,130.0,567.0,508.0,140.0,30.0,6.0,16.0,230.0,83.0,54.0,122.0,43.0,12.0,24.0,0.345,0.453,0.797,0.215,ヤクルト
166,10,荒木貴裕,2600.0,0.136,47.0,28.0,22.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,7.0,6.0,0.0,0.0,0.321,0.182,0.503,0.25,ヤクルト
167,13,ホセ・オスナ,15800.0,0.272,138.0,529.0,496.0,135.0,19.0,2.0,20.0,218.0,49.0,74.0,93.0,29.0,1.0,2.0,0.312,0.44,0.751,0.176,ヤクルト
168,022,松井聖,280.0,,,,,,,,,,,,,,,,,,,,ヤクルト
