,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
0,12,九里亜蓮,6200,3.51,27.0,8.0,8.0,118.0,0.5,1.0,1.0,0.0,3.0,96.0,7.32,50.0,46.0,107.0,11.0,41.0,4.0,3.13,広島
1,13,矢崎拓也,1200,5.62,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,12.38,5.0,5.0,10.0,2.0,6.0,0.0,6.75,広島
2,14,大瀬良大地,14500,3.53,26.0,11.0,9.0,,0.55,6.0,2.0,0.0,0.0,136.0,7.06,72.0,68.0,176.0,22.0,35.0,4.0,1.82,広島
3,16,今村猛,8700,3.55,27.0,3.0,1.0,,0.75,0.0,0.0,1.0,4.0,17.0,6.04,10.0,10.0,18.0,2.0,9.0,1.0,3.2,広島
4,17,岡田明丈,5500,14.14,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,5.14,12.0,11.0,9.0,2.0,11.0,0.0,14.14,広島
5,19,野村祐輔,12000,4.06,18.0,6.0,5.0,,0.545,0.0,0.0,0.0,0.0,65.0,6.14,52.0,43.0,96.0,6.0,34.0,2.0,3.21,広島
6,20,永川勝浩,2000,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島
7,21,中崎翔太,16000,4.08,36.0,3.0,3.0,,0.5,0.0,0.0,9.0,5.0,23.0,5.86,24.0,16.0,44.0,3.0,17.0,2.0,4.33,広島
8,23,薮田和樹,3700,9.24,4.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,6.0,4.26,13.0,13.0,17.0,4.0,10.0,0.0,7.11,広島
9,24,横山弘樹,800,,,,,,,,,,,,,,,,,,,,広島
10,26,中田廉,2700,9.53,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,6.35,11.0,6.0,8.0,1.0,6.0,1.0,9.53,広島
11,28,床田寛樹,650,2.96,25.0,7.0,6.0,,0.538,1.0,0.0,0.0,0.0,101.0,6.51,54.0,46.0,131.0,17.0,48.0,5.0,3.09,広島
12,29,ケムナ誠,700,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,広島
