,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
0,00,曽根海成,1000,0.0,66.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,9.0,0.167,0.0,0.167,0.5,広島
1,0,上本崇司,1200,0.273,63.0,68.0,55.0,15.0,2.0,0.0,0.0,17.0,20.0,2.0,10.0,5.0,6.0,2.0,0.382,0.309,0.691,0.147,広島
2,1,鈴木誠也,31000,0.317,132.0,533.0,435.0,138.0,26.0,0.0,38.0,278.0,77.0,88.0,88.0,87.0,6.0,9.0,0.433,0.639,1.072,0.165,広島
3,2,田中広輔,15000,0.206,81.0,160.0,136.0,28.0,4.0,0.0,2.0,38.0,12.0,8.0,23.0,18.0,2.0,1.0,0.308,0.279,0.587,0.144,広島
4,5,長野久義,16500,0.216,71.0,140.0,125.0,27.0,3.0,0.0,2.0,36.0,6.0,13.0,30.0,14.0,1.0,1.0,0.3,0.288,0.588,0.214,広島
5,6,安部友裕,3250,0.252,85.0,170.0,151.0,38.0,5.0,0.0,1.0,46.0,8.0,12.0,47.0,15.0,1.0,2.0,0.32,0.305,0.624,0.276,広島
6,7,堂林翔太,3600,0.19,70.0,143.0,137.0,26.0,6.0,0.0,0.0,32.0,12.0,5.0,34.0,3.0,1.0,2.0,0.213,0.234,0.446,0.238,広島
7,10,ケビン・クロン,8300,0.231,42.0,137.0,130.0,30.0,8.0,0.0,6.0,56.0,10.0,16.0,47.0,6.0,1.0,0.0,0.27,0.431,0.701,0.343,広島
8,22,中村奨成,700,0.283,39.0,61.0,53.0,15.0,3.0,0.0,2.0,24.0,15.0,5.0,15.0,8.0,0.0,3.0,0.377,0.453,0.83,0.246,広島
9,27,會澤翼,18000,0.256,70.0,204.0,180.0,46.0,10.0,0.0,3.0,65.0,18.0,22.0,33.0,16.0,4.0,0.0,0.325,0.361,0.686,0.162,広島
10,31,坂倉将吾,1800,0.315,132.0,484.0,422.0,133.0,24.0,2.0,12.0,197.0,58.0,68.0,60.0,51.0,4.0,4.0,0.39,0.467,0.857,0.124,広島
11,32,白濱裕太,650,,,,,,,,,,,,,,,,,,,,広島
12,33,菊池涼介,30000,0.277,132.0,542.0,494.0,137.0,23.0,2.0,16.0,212.0,64.0,60.0,86.0,42.0,1.0,1.0,0.333,0.429,0.762,0.159,広島
13,35,三好匠,1300,0.0,64.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,広島
14,37,野間峻祥,3000,0.272,74.0,270.0,250.0,68.0,7.0,2.0,2.0,85.0,27.0,12.0,29.0,17.0,2.0,9.0,0.323,0.34,0.663,0.107,広島
15,38,宇草孔基,1100,0.291,43.0,158.0,148.0,43.0,7.0,1.0,4.0,64.0,18.0,14.0,42.0,6.0,3.0,6.0,0.331,0.432,0.764,0.266,広島
16,40,磯村嘉孝,1600,0.171,21.0,39.0,35.0,6.0,2.0,0.0,0.0,8.0,0.0,3.0,9.0,2.0,1.0,0.0,0.231,0.229,0.459,0.231,広島
17,44,林晃汰,600,0.266,102.0,376.0,357.0,95.0,15.0,0.0,10.0,140.0,26.0,40.0,93.0,16.0,2.0,0.0,0.301,0.392,0.693,0.247,広島
18,45,桑原樹,550,,,,,,,,,,,,,,,,,,,,広島
19,49,正隨優弥,650,0.115,14.0,27.0,26.0,3.0,0.0,0.0,1.0,6.0,1.0,4.0,10.0,1.0,0.0,0.0,0.148,0.231,0.379,0.37,広島
20,50,高橋大樹,700,,,,,,,,,,,,,,,,,,,,広島
21,51,小園海斗,800,0.298,113.0,481.0,449.0,134.0,18.0,6.0,5.0,179.0,65.0,35.0,57.0,13.0,3.0,4.0,0.32,0.399,0.718,0.119,広島
22,54,韮澤雄也,500,,,,,,,,,,,,,,,,,,,,広島
23,55,松山竜平,9000,0.263,85.0,194.0,175.0,46.0,10.0,0.0,2.0,62.0,9.0,29.0,22.0,17.0,0.0,0.0,0.325,0.354,0.679,0.113,広島
24,56,中神拓都,500,,,,,,,,,,,,,,,,,,,,広島
25,59,大盛穂,1000,0.27,56.0,41.0,37.0,10.0,1.0,1.0,0.0,13.0,9.0,3.0,19.0,1.0,1.0,5.0,0.308,0.351,0.659,0.463,広島
26,60,永井敦士,450,,,,,,,,,,,,,,,,,,,,広島
27,61,矢野雅哉,600,0.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島
28,62,石原貴規,700,0.239,60.0,125.0,113.0,27.0,1.0,0.0,4.0,40.0,8.0,12.0,24.0,9.0,0.0,1.0,0.293,0.354,0.647,0.192,広島
29,63,西川龍馬,6300,0.286,137.0,551.0,504.0,144.0,19.0,1.0,12.0,201.0,57.0,60.0,70.0,37.0,2.0,3.0,0.335,0.399,0.733,0.127,広島
30,69,羽月隆太郎,800,0.255,39.0,117.0,102.0,26.0,3.0,2.0,1.0,36.0,16.0,11.0,26.0,8.0,0.0,6.0,0.309,0.353,0.662,0.222,広島
31,96,アレハンドロ・メヒア,1320,0.216,18.0,40.0,37.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,11.0,2.0,1.0,0.0,0.275,0.216,0.491,0.275,広島
32,121,二俣翔一,250,,,,,,,,,,,,,,,,,,,,広島
