,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
0,12,九里亜蓮,7200,2.96,20.0,8.0,6.0,,0.571,2.0,1.0,0.0,0.0,106.0,7.3,46.0,43.0,116.0,11.0,44.0,0.0,3.03,広島
1,13,矢崎拓也,1000,9.39,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,11.74,9.0,8.0,11.0,3.0,5.0,1.0,5.87,広島
2,14,大瀬良大地,17500,4.41,11.0,5.0,4.0,,0.556,2.0,0.0,0.0,0.0,38.0,5.4,33.0,31.0,70.0,6.0,14.0,1.0,1.99,広島
3,16,今村猛,8000,12.46,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.08,6.0,6.0,10.0,0.0,2.0,0.0,4.15,広島
4,17,岡田明丈,4400,,,,,,,,,,,,,,,,,,,,広島
5,18,森下暢仁,1600,1.91,18.0,10.0,3.0,,0.769,2.0,1.0,0.0,0.0,124.0,9.1,30.0,26.0,102.0,6.0,32.0,4.0,2.35,広島
6,19,野村祐輔,12000,4.58,13.0,6.0,3.0,,0.667,0.0,0.0,0.0,0.0,35.0,4.46,36.0,36.0,81.0,9.0,22.0,3.0,2.8,広島
7,21,中崎翔太,14500,9.0,6.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,5.4,5.0,5.0,8.0,3.0,3.0,0.0,5.4,広島
8,23,薮田和樹,2800,4.6,28.0,1.0,2.0,47.0,0.333,0.0,0.0,0.0,2.0,33.0,6.32,25.0,24.0,44.0,5.0,31.0,0.0,5.94,広島
9,26,中田廉,2300,4.28,32.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,22.0,7.24,13.0,13.0,28.0,6.0,8.0,0.0,2.63,広島
10,28,床田寛樹,2700,4.93,15.0,5.0,8.0,,0.385,0.0,0.0,0.0,0.0,56.0,6.57,51.0,42.0,101.0,10.0,23.0,0.0,2.7,広島
11,29,ケムナ誠,750,3.88,41.0,1.0,1.0,51.0,0.5,0.0,0.0,0.0,11.0,55.0,9.71,22.0,22.0,37.0,3.0,23.0,1.0,4.06,広島
