,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
441,18,田中将大,90000,3.31,25.0,9.0,12.0,163.0,0.429,1.0,1.0,0.0,0.0,126.0,6.96,65.0,60.0,160.0,16.0,30.0,4.0,1.66,楽天
442,20,安樂智大,4000,4.38,52.0,6.0,2.0,,0.75,0.0,0.0,1.0,13.0,39.0,7.11,25.0,24.0,51.0,2.0,12.0,2.0,2.19,楽天
443,21,早川隆久,3600,3.86,19.0,5.0,9.0,,0.357,0.0,0.0,0.0,0.0,86.0,7.21,48.0,46.0,105.0,19.0,23.0,3.0,1.93,楽天
444,23,弓削隼人,1150,3.29,13.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,5.0,3.29,5.0,5.0,14.0,2.0,6.0,2.0,3.95,楽天
445,28,酒居知史,7000,3.31,34.0,1.0,1.0,,0.5,0.0,0.0,0.0,1.0,32.0,8.82,12.0,12.0,23.0,4.0,17.0,4.0,4.68,楽天
446,29,高田孝一,1050,7.11,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,12.79,5.0,5.0,8.0,2.0,4.0,0.0,5.68,楽天
447,30,小峯新陸,240,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,9.0,0.0,5.0,0.0,7.5,楽天
448,31,福井優也,2000,4.09,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,5.73,5.0,5.0,14.0,1.0,4.0,0.0,3.27,楽天
449,32,アラン・ブセニッツ,15600,2.27,34.0,3.0,1.0,,0.75,0.0,0.0,0.0,11.0,25.0,7.11,8.0,8.0,22.0,1.0,10.0,0.0,2.84,楽天
450,40,内間拓馬,870,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,楽天
451,41,釜田佳直,1000,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,10.0,0.0,3.0,0.0,4.5,楽天
452,43,宋家豪,11000,2.61,54.0,4.0,2.0,,0.667,0.0,0.0,0.0,20.0,38.0,6.62,18.0,15.0,45.0,5.0,15.0,0.0,2.61,楽天
453,45,松井友飛,700,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.75,4.0,4.0,6.0,1.0,2.0,0.0,4.5,楽天
454,46,藤平尚真,1000,3.97,8.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,17.0,6.75,11.0,10.0,15.0,0.0,12.0,0.0,4.76,楽天
455,47,藤井聖,1000,3.38,4.0,1.0,2.0,,0.333,0.0,0.0,0.0,0.0,10.0,4.82,8.0,7.0,16.0,1.0,10.0,0.0,4.82,楽天
456,49,西垣雅矢,720,2.66,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,5.7,7.0,7.0,20.0,2.0,10.0,0.0,3.8,楽天
457,52,津留崎大成,1050,4.5,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,7.0,5.25,6.0,6.0,16.0,0.0,6.0,0.0,4.5,楽天
458,53,高田萌生,700,7.2,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,4.0,5.0,1.0,5.0,0.0,9.0,楽天
459,56,鈴木翔天,650,4.03,38.0,1.0,3.0,38.0,0.25,0.0,0.0,0.0,7.0,35.0,8.29,17.0,17.0,25.0,2.0,25.0,2.0,5.92,楽天
460,57,瀧中瞭太,3000,4.62,15.0,2.0,9.0,78.0,0.182,0.0,0.0,0.0,0.0,42.0,4.85,44.0,40.0,94.0,12.0,27.0,3.0,3.12,楽天
461,58,辛島航,4000,3.4,17.0,6.0,4.0,90.0,0.6,0.0,0.0,0.0,0.0,53.0,5.3,36.0,34.0,86.0,10.0,24.0,3.0,2.4,楽天
462,59,泰勝利,550,,,,,,,,,,,,,,,,,,,,楽天
463,60,石橋良太,1600,6.12,26.0,2.0,0.0,,1.0,0.0,0.0,0.0,3.0,18.0,5.01,22.0,22.0,35.0,3.0,12.0,4.0,3.34,楽天
464,62,西口直人,1800,2.26,61.0,4.0,0.0,,1.0,0.0,0.0,0.0,30.0,59.0,9.54,16.0,14.0,39.0,2.0,26.0,2.0,4.2,楽天
465,64,福山博之,2000,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,楽天
466,68,寺岡寛治,740,,,,,,,,,,,,,,,,,,,,楽天
467,69,内星龍,500,,,,,,,,,,,,,,,,,,,,楽天
468,71,吉川雄大,700,1.8,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,1.0,1.0,3.0,0.0,1.0,0.0,1.8,楽天
