ID,Year,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt
17185,2020,,,,20201109,,Pacific,1,12,ソフトバンク,120,73,42,5,0.63478,-,-,531,389,126,99,.249,2.92,0,0,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17186,2020,,,,20201109,,Pacific,2,9,ロッテ,120,60,57,3,0.51282,14,14,461,479,90,87,.235,3.81,0,-1,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17187,2020,,,,20201109,,Pacific,3,7,西武,120,58,58,4,0.50000,1.5,15.5,479,543,107,85,.238,4.28,0,-1,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17188,2020,,,,20201109,,Pacific,4,376,楽天,120,55,57,8,0.49107,1,16.5,557,522,112,67,.258,4.19,0,-1,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17189,2020,,,,20201109,,Pacific,5,8,日本ハム,120,53,62,5,0.46087,3.5,20,493,528,89,80,.249,4.02,0,-1,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17190,2020,,,,20201109,,Pacific,6,11,オリックス,120,45,68,7,0.39823,7,27,442,502,90,95,.247,3.97,0,-1,,0,2020-11-09T13:00:05.000Z,2020-11-09T13:00:05.000Z
17221,2020,,,,20201114,,Central,1,1,巨人,120,67,45,8,0.59821,-,-,532,421,135,80,.255,3.34,0,0,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
17222,2020,,,,20201114,,Central,2,5,阪神,120,60,53,7,0.53097,7.5,7.5,494,460,110,80,.246,3.35,0,-1,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
17223,2020,,,,20201114,,Central,3,4,中日,120,60,55,5,0.52173,1,8.5,429,489,70,33,.252,3.84,0,-1,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
17224,2020,,,,20201114,,Central,4,3,ＤｅＮＡ,120,56,58,6,0.49122,3.5,12,516,474,135,31,.266,3.76,0,-1,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
17225,2020,,,,20201114,,Central,5,6,広島,120,52,56,12,0.48148,1,13,523,529,110,64,.262,4.06,0,-1,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
17226,2020,,,,20201114,,Central,6,2,ヤクルト,120,41,69,10,0.37272,12,25,468,589,114,74,.242,4.61,0,-1,,0,2020-11-14T09:00:04.000Z,2020-11-14T09:00:04.000Z
