ID,Year,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt
23673,2021,,,,20211101,,Central,1,2,ヤクルト,143,73,52,18,0.58400,-,-,625,531,142,70,.254,3.48,0,0,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23674,2021,,,,20211101,,Central,2,5,阪神,143,77,56,10,0.57894,0,0,541,508,121,114,.247,3.30,0,-1,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23675,2021,,,,20211101,,Central,3,1,巨人,143,61,62,20,0.49593,11,11,552,541,169,65,.242,3.63,0,-1,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23676,2021,,,,20211101,,Central,4,6,広島,143,63,68,12,0.48091,2,13,557,589,123,68,.264,3.81,0,-1,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23677,2021,,,,20211101,,Central,5,4,中日,143,55,71,17,0.43650,5.5,18.5,405,478,69,60,.237,3.22,0,-1,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23678,2021,,,,20211101,,Central,6,3,DeNA,143,54,73,16,0.42519,1.5,20,559,624,136,31,.258,4.15,0,-1,,0,2021-11-01T13:09:59.000Z,2021-11-01T13:09:59.000Z
23679,2021,,,,20211101,,Pacific,1,11,オリックス,143,70,55,18,0.56000,-,-,551,500,133,50,.247,3.31,0,0,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
23680,2021,,,,20211101,,Pacific,2,9,ロッテ,143,67,57,19,0.54032,2.5,2.5,584,570,126,107,.239,3.67,0,-1,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
23681,2021,,,,20211101,,Pacific,3,376,楽天,143,66,62,15,0.51562,3,5.5,532,507,108,45,.243,3.40,0,-1,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
23682,2021,,,,20211101,,Pacific,4,12,ソフトバンク,143,60,62,21,0.49180,3,8.5,564,493,132,92,.247,3.25,0,-1,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
23683,2021,,,,20211101,,Pacific,5,8,日本ハム,143,55,68,20,0.44715,5.5,14,454,515,78,77,.231,3.32,0,-1,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
23684,2021,,,,20211101,,Pacific,6,7,西武,143,55,70,18,0.44000,1,15,521,589,112,84,.239,3.94,0,-1,,0,2021-11-01T13:50:48.000Z,2021-11-01T13:50:48.000Z
