ID,Year,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt
40240,2023,,,,20231010,,Pacific,1,11,オリックス,143,86,53,4,0.61870,-,-,508,428,109,52,.250,2.73,0,0,,0,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40241,2023,,,,20231010,,Pacific,2,9,ロッテ,143,70,68,5,0.50724,15.5,15.5,505,524,100,73,.239,3.40,0,-1,,1,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40242,2023,,,,20231010,,Pacific,3,12,ソフトバンク,143,71,69,3,0.50714,0,15.5,536,507,104,73,.248,3.27,0,-1,,2,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40243,2023,,,,20231010,,Pacific,4,376,楽天,143,70,71,2,0.49645,1.5,17,513,556,104,102,.244,3.52,0,-1,,0,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40244,2023,,,,20231010,,Pacific,5,7,西武,143,65,77,1,0.45774,5.5,22.5,435,465,90,80,.233,2.93,0,-1,,0,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40245,2023,,,,20231010,,Pacific,6,8,日本ハム,143,60,82,1,0.42253,5,27.5,464,496,100,75,.231,3.08,0,-1,,0,2023-10-10T12:48:24.000Z,2023-10-10T12:48:24.000Z
40246,2023,,,,20231010,,Central,1,5,阪神,143,85,53,5,0.61594,-,-,555,424,84,79,.247,2.66,0,0,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
40247,2023,,,,20231010,,Central,2,6,広島,143,74,65,4,0.53237,11.5,11.5,493,508,96,78,.246,3.20,0,-1,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
40248,2023,,,,20231010,,Central,3,3,DeNA,143,74,66,3,0.52857,0.5,12,520,496,105,33,.247,3.16,0,-1,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
40249,2023,,,,20231010,,Central,4,1,巨人,143,71,70,2,0.50354,3.5,15.5,523,507,164,48,.252,3.39,0,-1,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
40250,2023,,,,20231010,,Central,5,2,ヤクルト,143,57,83,3,0.40714,13.5,29,534,567,123,62,.239,3.66,0,-1,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
40251,2023,,,,20231010,,Central,6,4,中日,143,56,82,5,0.40579,0,29,390,498,71,36,.234,3.08,0,-1,,0,2023-10-10T13:24:13.000Z,2023-10-10T13:24:13.000Z
