ID,Year,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt
13645,2019,,,,20190929,,Pacific,1,7,西武,143,80,62,1,0.56338,-,-,756,695,174,134,.265,4.35,0,0,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13646,2019,,,,20190929,,Pacific,2,12,ソフトバンク,143,76,62,5,0.55072,2,2,582,564,183,113,.251,3.63,0,-1,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13647,2019,,,,20190929,,Pacific,3,376,楽天,143,71,68,4,0.51079,5.5,7.5,614,578,141,48,.251,3.74,0,-1,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13648,2019,,,,20190929,,Pacific,4,9,ロッテ,143,69,70,4,0.49640,2,9.5,642,611,158,75,.249,3.90,0,-1,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13649,2019,,,,20190929,,Pacific,5,8,日本ハム,143,65,73,5,0.47101,3.5,13,560,586,93,48,.251,3.76,0,-1,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13650,2019,,,,20190929,,Pacific,6,11,オリックス,143,61,75,7,0.44852,3,16,544,637,102,122,.242,4.05,0,-1,,0,2019-09-29T09:49:43.000Z,2019-09-29T09:49:43.000Z
13663,2019,,,,20190930,,Central,1,1,巨人,143,77,64,2,0.54609,-,-,663,573,183,83,.257,3.77,0,0,,0,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
13664,2019,,,,20190930,,Central,2,3,ＤｅＮＡ,143,71,69,3,0.50714,5.5,5.5,596,611,163,40,.246,3.93,0,-1,,0,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
13665,2019,,,,20190930,,Central,3,5,阪神,143,69,68,6,0.50365,0.5,6,538,566,94,100,.251,3.46,0,-1,,1,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
13666,2019,,,,20190930,,Central,4,6,広島,143,70,70,3,0.50000,0.5,6.5,591,601,140,81,.254,3.68,0,-1,,2,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
13667,2019,,,,20190930,,Central,5,4,中日,143,68,73,2,0.48226,2.5,9,563,544,90,63,.263,3.72,0,-1,,0,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
13668,2019,,,,20190930,,Central,6,2,ヤクルト,143,59,82,2,0.41844,9,18,656,739,167,62,.244,4.78,0,-1,,0,2019-09-30T13:05:34.000Z,2019-09-30T13:05:34.000Z
